Annotation	word	definitions	A1	A2	M-T	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	guns	the discharge of a firearm as signal or as a salute in military ...	1.0	0.0	1.0	7.25	1.61	301.0	4.76	04.06	2.84
control	guns	shoot with a gun	1.0	0.0	1.0	5.33	4.81	506.5	5.49	4.4	3.47
control	hat	headdress that protects the head from bad weather; has shaped cr...	1.0	1.0	1.0	05.09	2.56	511.9	4.94	3.58	2.38
control	hat	an informal term for a person's role	0.0	0.0	0.0	6.0	0.99	559.6	5.49	2.99	3.55
control	hat	put on or wear a hat	1.0	0.0	1.0	4.6	0.0	497.33	3.79	3.66	2.41
control	healthy	having or indicating good health in body or mind; free from infi...	1.0	1.0	1.0	5.85		527.33	5.53	2.78	2.81
control	healthy	financially secure and functioning well	0.0	0.0	0.0	0.75		486.25	4.94	2.79	3.63
control	healthy	promoting health; healthful; ; ; ; ; - C.B.Davis	0.0	0.0	1.0	2.33		495.0	5.9	2.58	2.15
control	healthy	exercising or showing good judgment	0.0	0.0	0.0	2.8		462.0	5.83	2.13	2.53
control	healthy	large in amount or extent or degree	0.0	0.0	0.0	4.86		510.75	4.0	2.64	2.77
control	hungers	a physiological need for food; the consequence of food deprivati...	0.0	1.0	1.0	4.14	0.24	517.71	4.75	2.97	2.33
control	hungers	strong desire for something	0.0	0.0	0.0	2.5		395.67	6.46	2.22	2.74
control	hungers	feel the need to eat	1.0	1.0	1.0	1.33	0.0	541.67	3.42	2.8	3.54
control	hungers	have a craving, appetite, or great desire for	1.0	0.0	0.0	3.86	5.72	530.83	5.37	02.08	2.93
control	hungers	be hungry; go without food	1.0	1.0	1.0	1.25	0.0	503.4	4.82	3.25	2.63
guided	immersed	thrust or throw into	1.0	1.0	1.0	3.67	0.0	553.0	4.69	3.66	2.36
guided	immersed	devote	0.0	0.0	0.0	1.0	0.0	599.0	5.0	2.0	5.4
guided	immersed	enclose or envelop completely, as if by swallowing	1.0	1.0	1.0	3.14	3.54	448.8	5.0	2.9	2.87
guided	immersed	cause to be immersed	0.0	1.0	0.0	0.0	0.0	410.0	5.14	2.43	3.44
guided	infected	communicate a disease to	1.0	0.0	1.0	6.0	0.0	412.0	4.29	3.44	3.15
guided	infected	contaminate with a disease or microorganism	1.0	1.0	1.0	6.8	11.53	531.33	05.09	3.42	03.04
guided	infected	corrupt with ideas or an ideology	0.0	0.0	0.0	6.6	10.78	348.67	5.45	1.75	2.68
guided	infected	affect in a contagious way	1.0	0.0	0.0	5.0	0.0	404.67	05.09	2.33	2.56
guided	infected	containing or resulting from disease-causing organisms	0.0	1.0	1.0	3.75		483.33	04.06	2.11	03.05
guided	infiltrates	enter a group or organization in order to spy on the members	1.0	0.0	0.0	5.1	0.0	432.4	2.99	3.43	3.25
guided	infiltrates	pass into or through by filtering or permeating	1.0	1.0	1.0	3.43	06.02	374.5	3.54	3.0	03.09
guided	infiltrates	pass through an enemy line; in a military conflict	1.0	0.0	0.0	5.22	0.0	438.2	5.5	3.38	2.21
guided	inventory	a detailed list of all the items in stock	1.0	1.0	1.0	4.57	1.1	518.0	4.46	3.63	2.54
guided	inventory	the merchandise that a shop has on hand	1.0	1.0	1.0	5.83	1.68	529.0	3.7	4.52	2.45
guided	inventory	a collection of resources	1.0	0.0	1.0	6.67	0.6	514.0	4.31	04.04	4.2
guided	inventory	making an itemized list of merchandise or supplies on hand	1.0	1.0	1.0	4.0	0.45	485.67	04.06	3.75	03.04
guided	inventory	make or include in an itemized record or report	1.0	0.0	1.0	5.44	1.15	452.8	4.56	3.26	2.89
guided	invested	make an investment	0.0	1.0	1.0	6.0	0.0	383.0	5.9	3.13	2.0
guided	invested	give qualities or abilities to	0.0	0.0	1.0	4.75	0.0	471.0	3.8	2.27	2.36
guided	invested	furnish with power or authority; of kings or emperors	0.0	1.0	1.0	7.43	4.6	492.5	4.6	2.71	1.96
guided	invested	provide with power and authority	0.0	0.0	1.0	4.33	0.0	538.0	3.86	2.37	2.35
guided	invested	place ceremoniously or formally in an office or position	1.0	1.0	1.0	5.0	0.0	417.4	4.64	03.09	2.99
guided	killer	someone who causes the death of a person or animal	1.0	1.0	1.0	6.38	0.67	492.0	5.36	3.84	03.05
guided	killer	the causal agent resulting in death	1.0	0.0	1.0	4.4	0.27	503.0	5.68	2.9	3.11
guided	killer	a difficulty that is hard to deal with	0.0	0.0	0.0	3.8	0.6	398.67	4.31	2.92	2.87
guided	killer	predatory black-and-white toothed whale with large dorsal fin; c...	1.0	1.0	1.0	3.0	1.33	483.8	4.83	3.64	2.85
guided	lit	the humanistic study of a body of literature	1.0	1.0	1.0	7.0	2.66	509.75	4.59	3.6	2.7
guided	lit	make lighter or brighter	1.0	1.0	1.0	2.75	0.0	505.33	5.82	3.6	2.24
guided	lit	begin to smoke	1.0	1.0	1.0	0.5	0.0	526.5	04.01	3.76	2.55
guided	lit	to come to rest, settle	0.0	0.0	0.0	0.67	0.0	522.75	5.22	2.69	2.86
guided	lit	cause to start burning; subject to fire or great heat	1.0	1.0	1.0	2.0	1.29	448.12	5.65	3.2	2.31
guided	lit	alight from	1.0	1.0	1.0	2.0	6.92	372.0	5.91	2.96	3.36
guided	lit	provided with artificial light	1.0	1.0	1.0	0.67		484.33	4.35	3.15	2.5
guided	lit	set afire or burning	1.0	1.0	1.0	3.0		493.67	5.81	3.63	2.98
guided	mad	roused to anger; - Mark Twain	0.0	1.0	0.0	6.5		423.33	5.82	2.41	2.62
guided	mad	affected with madness or insanity	0.0	1.0	1.0	6.0		571.67	4.72	02.08	2.19
guided	mad	marked by uncontrolled excitement or emotion	0.0	0.0	1.0	3.67		482.0	5.0	2.63	3.87
guided	mad	very foolish	0.0	0.0	1.0	0.0		504.0	06.06	1.84	2.4
guided	mother	a woman who has given birth to a child	2.0	1.0	1.0	5.0	1.47	471.5	4.78	04.01	2.21
guided	mother	a stringy slimy substance consisting of yeast cells and bacteria...	1.0	1.0	0.0	4.53	2.92	435.07	4.7	3.84	2.51
guided	mother	a term of address for an elderly woman	1.0	0.0	1.0	5.83	1.66	520.0	5.2	3.71	2.9
guided	mother	a term of address for a mother superior	1.0	0.0	1.0	6.4	0.78	572.5	5.15	3.34	2.41
guided	mother	a condition that is the inspiration for an activity or situation	0.0	0.0	0.0	5.75	1.56	411.5	3.91	2.27	03.06
guided	mother	care for like a mother	0.0	1.0	1.0	6.33	6.66	530.67	4.77	2.94	2.45
guided	mother	make children	1.0	1.0	1.0	4.0	2.94	344.0	4.81	3.72	2.38
guided	nurse	one skilled in caring for young children or the sick	1.0	1.0	1.0	2.75	02.07	377.5	4.65	3.1	2.69
guided	nurse	a woman who is the custodian of children	1.0	1.0	1.0	5.83	3.23	450.33	5.22	4.63	2.57
guided	nurse	try to cure by special care of treatment, of an illness or injur...	1.0	1.0	1.0	5.5	0.0	541.62	4.58	2.74	2.65
guided	nurse	maintain	0.0	0.0	0.0	1.0	0.0	580.0	5.87	2.32	1.9
guided	nurse	serve as a nurse; care for sick or handicapped people	1.0	1.0	1.0	5.12	4.33	475.86	4.89	3.66	2.59
guided	nurse	treat carefully	1.0	0.0	1.0	1.0	2.55	534.0	5.85	2.97	3.49
guided	nurse	give suck to	1.0	0.0	1.0	2.5	5.33	440.5	2.15	3.14	2.35
guided	nursing	the work of caring for the sick or injured or infirm	1.0	1.0	1.0	3.29	0.0	426.2	4.9	2.95	2.6
guided	nursing	the profession of a nurse	1.0	1.0	1.0	7.67	3.37	494.0	4.17	3.61	2.86
guided	nursing	nourishing at the breast	1.0	1.0	1.0	4.0	0.6	337.5	6.16	3.79	02.09
guided	nursing	try to cure by special care of treatment, of an illness or injur...	1.0	1.0	1.0	5.5	0.0	541.62	4.58	2.74	2.65
guided	nursing	maintain	0.0	0.0	0.0	1.0	0.0	580.0	5.87	2.32	1.9
guided	nursing	serve as a nurse; care for sick or handicapped people	1.0	1.0	1.0	4.89	06.05	475.86	4.89	3.66	2.59
guided	nursing	treat carefully	1.0	0.0	1.0	1.0	2.55	534.0	5.85	2.97	3.49
guided	nursing	give suck to	1.0	0.0	1.0	2.5	5.33	440.5	2.15	3.14	2.35
guided	nuts	usually large hard-shelled seed	1.0	1.0	1.0	1.0		456.25	5.15	3.37	3.43
guided	nuts	a whimsically eccentric person	0.0	0.0	0.0	5.25	3.72	544.67	4.88	2.92	3.47
guided	nuts	someone who is so ardently devoted to something that it resemble...	0.0	0.0	0.0	3.6	0.47	419.5	5.6	2.38	2.52
guided	nuts	one of the two male reproductive glands that produce spermatozoa...	1.0	0.0	0.0	5.11	1.97	406.67	4.39	3.76	3.42
guided	nuts	gather nuts	1.0	1.0	1.0	3.0	0.0	565.5	4.92	3.64	2.0
guided	nuts	informal or slang terms for mentally irregular	0.0	0.0	0.0	3.5		501.2	4.65	2.38	3.46
guided	overcame	win a victory over	1.0	1.0		5.75		498.0	3.56	2.61	2.39
guided	overcame	get on top of; deal with successfully	0.0	0.0	0.0	2.6	0.0	397.2	3.94	2.84	2.13
guided	overcame	overcome, as with emotions or perceptual stimuli	0.0	0.0	0.0	4.83	8.63	461.0	4.97	2.16	03.07
guided	overcame	overcome, usually through no fault or weakness of the person tha...	0.0	1.0	0.0	3.5	7.27	502.71	4.72	2.72	2.87
guided	pet	a domesticated animal kept for companionship or amusement	1.0	1.0	1.0	5.86	1.46	480.6	5.22	2.96	3.74
guided	pet	a special loved one	0.0	0.0	0.0	2.5	0.8	529.0	3.61	2.86	02.04
guided	pet	a fit of petulance or sulkiness	0.0	0.0	0.0	6.4	5.35	493.0	4.61	2.19	3.79
guided	pet	stroke or caress gently	1.0	1.0	1.0	4.25	8.89	427.67	4.76	3.42	2.5
guided	pet	stroke or caress in an erotic manner, as during lovemaking	1.0	1.0	0.0	6.11	8.89	491.17	4.51	3.22	2.83
guided	pet	preferred above all others and treated with partiality	0.0	0.0	0.0	1.4		473.25	4.65	2.0	02.07
guided	pieced	to join or unite the pieces of	1.0	1.0	1.0	4.25	4.6	534.0	5.31	3.19	2.95
guided	pieced	create by putting components or members together	1.0			2.57	0.0	488.67	6.32	2.68	3.33
guided	pieced	eat intermittently; take small bites of	1.0	0.0	0.0	1.6	2.36	507.2	5.35	3.21	03.04
guided	pieced	repair by adding pieces	1.0		1.0	2.0	5.47	524.67	4.51	3.73	2.21
guided	pig	domestic swine	1.0	1.0	1.0	6.5	11.0	504.0	5.31	3.54	2.45
guided	pig	a coarse obnoxious person	0.0	0.0	0.0	4.0	0.4	555.67	4.2	3.41	4.2
guided	pig	a person regarded as greedy and pig-like	0.0	0.0	0.0	4.4	0.53	466.75	5.69	3.68	3.21
guided	pig	uncomplimentary terms for a policeman	0.0	0.0	0.0	5.25	2.97	565.33	3.33	3.23	2.71
guided	pig	mold consisting of a bed of sand in which pig iron is cast	1.0	1.0	0.0	6.78	1.12	524.71	4.68	4.73	3.28
guided	pig	a crude block of metal	1.0	1.0	0.0	6.25	1.3	388.67	5.36	3.77	03.07
guided	pig	live like a pig, in squalor	0.0	0.0	0.0	6.4	7.77	531.8	5.54	3.31	3.27
guided	pig	eat greedily	1.0	0.0	0.0	0.5	7.52	534.5	2.62	3.37	3.55
guided	pig	give birth	1.0	0.0		2.5	0.0	454.0	3.16	3.64	2.2
guided	planted	put or set	1.0	0.0	1.0	4.0	6.12	441.5	4.28	2.96	2.68
guided	planted	fix or set securely or deeply	1.0	0.0	0.0	3.67	0.0	505.0	4.35	2.8	4.2
guided	planted	set up or lay the groundwork for	0.0	0.0	0.0	4.8	3.25	465.67	4.79	3.36	2.69
guided	planted	place into a river	1.0	0.0	0.0	5.33	0.0	427.0	5.92	4.18	3.4
guided	planted	place something or someone in a certain position in order to sec...	0.0	0.0	0.0	4.23	2.27	455.89	4.33	2.49	3.13
guided	planted	put firmly in the mind	0.0	0.0	0.0	4.0	0.0	505.0	4.17	2.44	2.48
guided	planted	set in the soil for growth	0.0	1.0	1.0	4.5		496.33	6.1	3.72	04.08
guided	pour	cause to run	1.0		1.0	0.5	0.0	499.0	6.65	3.37	3.49
guided	pour	move in large numbers	0.0	0.0	0.0	1.75	0.0	505.0	3.78	3.31	3.69
guided	pour	pour out	1.0	0.0	1.0	0.0		503.0	5.91	4.14	1.7
guided	pour	flow in a spurt	1.0	1.0	1.0	4.75	4.78	513.5	5.55	3.5	3.4
guided	pour	supply in large amounts or quantities	0.0	0.0	0.0	4.17	2.58	568.67	3.0	3.18	3.52
guided	pour	rain heavily	1.0	1.0	1.0	0.5	8.8	582.5	3.31	04.06	4.45
guided	regurgitate	pour or rush back	1.0	0.0	1.0	3.75	0.0	493.0	5.11	3.79	2.73
guided	regurgitate	feed through the beak by regurgitating previously swallowed food	1.0	1.0	1.0	2.62	3.333333333e+299	480.0	5.17	3.89	2.49
guided	regurgitate	repeat after memorization	0.0	0.0	0.0	3.33	0.0	471.0	4.61	2.66	2.52
guided	regurgitate	eject the contents of the stomach through the mouth	1.0	1.0	1.0	3.2	0.0	509.0	4.47	4.28	2.8
guided	related	make a logical or causal connection	0.0	0.0	0.0	4.0	0.0	448.0	4.48	2.48	2.98
guided	related	be relevant to	0.0	0.0	0.0	0.0	0.0	454.0	6.29	1.72	03.09
guided	related	give an account of	0.0	1.0	0.0	4.0	1.67	418.0	4.24	2.96	3.65
guided	related	be in a relationship with	1.0	0.0	0.0	4.75	0.0	411.0	6.43	2.8	4.3
guided	related	have or establish a relationship to	1.0	0.0	0.0	5.0	1.4	509.5	4.76	2.4	4.6
guided	related	being connected either logically or causally or by shared charac...	0.0	0.0	0.0	3.1		509.33	4.64	2.15	2.61
guided	related	connected by kinship, common origin, or marriage	1.0	1.0	1.0	3.14		552.0	5.45	2.3	2.96
guided	rooted	take root and begin to grow	1.0	1.0	1.0	1.5	3.34	544.5	4.58	3.25	02.02
guided	rooted	come into existence, originate	0.0	0.0	0.0	2.33	5.65	527.25	4.79	2.16	3.52
guided	rooted	plant by the roots	1.0	1.0	1.0	2.33	6.88	498.5	4.4	4.55	2.55
guided	rooted	dig with the snout	1.0	1.0	1.0	7.5		533.0	6.19	4.61	4.74
guided	rooted	become settled or established and stable in one's residence or l...	1.0	0.0	0.0	4.0	03.08	436.22	5.45	2.94	03.05
guided	rooted	cause to take roots	0.0		1.0	2.0	3.54	537.0	5.29	3.28	2.29
guided	rooted	absolutely still	1.0	0.0	0.0	0.5		500.5	4.78	2.72	2.82
guided	shattered	break into many pieces	1.0	1.0	1.0	1.33	4.45	519.0	5.1	3.41	2.89
guided	shattered	damage or destroy	1.0	0.0	0.0	3.33	0.0	472.0	4.46	3.14	2.41
guided	shattered	cause to break into many pieces	1.0	1.0	1.0	0.75	2.97	526.0	5.51	3.16	2.99
guided	shattered	ruined or disrupted	0.0	0.0	0.0	3.67		516.5	06.06	2.96	3.21
guided	shouldered	lift onto one's shoulders	1.0	1.0	1.0	2.67	9.92	461.0	4.53	3.81	3.1
guided	shouldered	push with the shoulders	1.0	1.0	1.0	2.0	4.96	522.5	4.56	4.57	2.52
guided	shouldered	carry a burden, either real or metaphoric	0.0		0.0	3.29	6.25	422.67	4.6	2.57	3.42
guided	shouldered	having shoulders or shoulders as specified; usually used as a co...	0.0	0.0	1.0	3.42		524.5	4.45	3.46	2.68
guided	sick	people who are sick	1.0	1.0	1.0	3.33	2.86	380.5	5.71	3.9	2.98
guided	sick	eject the contents of the stomach through the mouth	1.0	1.0	1.0	3.2	0.0	509.0	4.47	4.28	2.8
guided	sick	affected by an impairment of normal physical or mental function	0.0	1.0	1.0	3.44		523.33	3.53	2.18	2.52
guided	sick	feeling nausea; feeling about to vomit	1.0	1.0	1.0	4.0		520.0	3.66	2.87	1.51
guided	sick	affected with madness or insanity	0.0	1.0	1.0	6.0		571.67	4.72	02.08	2.19
guided	sick	having a strong distaste from surfeit	0.0	0.0	0.0	3.8		535.67	5.37	2.59	1.8
guided	sick	deeply affected by a strong feeling	0.0	0.0	0.0	2.17		579.5	3.66	2.19	2.17
guided	sick	shockingly repellent; inspiring horror	0.0	0.0	0.0	3.25		518.8	4.67	2.22	1.79
guided	smart	a kind of pain such as that caused by a wound or a burn or a sor...	1.0	1.0	1.0	5.67	0.96	491.67	4.18	3.43	3.8
guided	smart	be the source of pain	1.0	0.0	1.0	3.0	0.0	578.0	4.0	3.23	2.86
guided	smart	showing mental alertness and calculation and resourcefulness	0.0	1.0	0.0	5.2		474.6	4.29	2.36	3.42
guided	smart	elegant and stylish	0.0	1.0	0.0	0.0		461.0	5.22	2.22	1.86
guided	smart	characterized by quickness and ease in learning	0.0	1.0	0.0	2.67		502.5	4.31	2.66	3.38
guided	smart	improperly forward or bold	0.0	0.0	0.0	6.25		510.0	5.19	2.36	2.55
guided	smart	painfully severe	0.0	0.0	1.0	0.0		553.0	6.24	2.48	2.85
guided	smart	quick and brisk	0.0	0.0	1.0	0.0		558.5	05.02	2.7	3.65
guided	smart	capable of independent and apparently intelligent action	0.0	0.0	0.0	1.0		499.0	5.57	2.26	3.82
guided	sold	exchange or deliver for money or its equivalent	1.0	1.0	1.0	7.57	0.0	527.0	04.06	3.24	03.06
guided	sold	be sold at a certain price or in a certain way	1.0	1.0	1.0	4.4	0.0	516.4	04.09	2.46	2.59
guided	sold	persuade somebody to accept something	0.0	0.0	0.0	1.33	3.34	432.5	4.98	2.68	3.54
guided	sold	do business; offer for sale as for one's livelihood	1.0	1.0	1.0	4.0	0.0	475.43	5.51	03.05	2.92
guided	sold	give up for a price or reward	1.0	0.0	0.0	5.33	0.0	453.33	2.74	3.29	2.45
guided	sold	be approved of or gain acceptance	0.0	0.0	0.0	5.0	0.0	498.0	5.25	2.22	03.08
guided	sold	be responsible for the sale of	0.0	0.0	1.0	2.0	2.55	451.5	4.61	2.53	2.89
guided	sold	deliver to an enemy by treachery	0.0	0.0	0.0	4.8	0.0	510.33	5.14	2.55	2.86
guided	sold	disposed of to a purchaser	1.0	0.0	1.0	5.33		434.0	5.5	2.74	3.42
guided	spineless	weak in willpower, courage or vitality	0.0	0.0	0.0	5.5		448.6	5.28	1.89	3.16
guided	spineless	lacking a backbone or spinal column	1.0	1.0	1.0	5.5		479.5	4.95	4.1	3.68
guided	spineless	lacking thorns	1.0	1.0	1.0	4.0		554.0	04.06		05.09
guided	splashed	walk through mud or mire	1.0	0.0	1.0	4.0	1.85	544.33	3.65	4.46	2.76
guided	splashed	dash a liquid upon or against	1.0	1.0	1.0	6.25		485.33	4.87	3.65	3.85
guided	splashed	mark or overlay with patches of contrasting color or texture; ca...	1.0	0.0	0.0	04.08	0.0	502.0	05.01	3.63	2.81
guided	splashed	make a splashing sound	1.0	0.0	1.0	3.75	6.2	445.67	4.1	3.59	2.83
guided	splashed	soil or stain with a splashed liquid	1.0	1.0	1.0	6.0	0.0	460.0	5.11	4.38	3.63
guided	splashed	strike and dash about in a liquid	1.0	1.0	1.0	6.5		485.67	4.97	04.06	3.71
guided	splashed	covered with bright patches	1.0	0.0	0.0	2.33		567.67	3.18	04.01	2.49
guided	stab	a sudden sharp feeling	0.0	0.0	0.0	3.25	0.6	501.33	3.4	2.54	1.74
guided	stab	a strong blow with a knife or other sharp pointed instrument	1.0	1.0	1.0	4.7	0.12	462.17	5.26	3.91	2.53
guided	stab	informal words for any attempt or effort	0.0	0.0	0.0	4.33	1.57	383.75	3.57	2.58	03.09
guided	stab	use a knife on	1.0	0.0	1.0	3.5	4.86	487.5	2.78	3.84	02.08
guided	stab	stab or pierce	1.0		1.0	5.5	0.0	548.0	3.61	3.9	3.31
guided	stab	poke or thrust abruptly	1.0	0.0	0.0	3.5	8.68	532.0	3.88	3.29	2.34
guided	stewed	be in a huff; be silent or sullen	0.0	0.0	0.0	4.0	0.0	501.25	4.99	3.15	2.28
guided	stewed	bear a grudge; harbor ill feelings	0.0	0.0	0.0	4.17	5.94	520.5	4.57	3.3	2.2
guided	stewed	cook slowly and for a long time in liquid	1.0	1.0	1.0	3.86	04.08	491.8	4.75	3.68	3.3
guided	stewed	cooked in hot water	1.0	0.0	1.0	3.5		536.33	4.62	4.66	3.28
guided	survived	continue to live through hardship or adversity	0.0	1.0	1.0	4.0	3.42	506.25	5.74	2.29	03.05
guided	survived	continue in existence after	0.0	0.0		3.0	0.0	548.5	5.26	1.95	3.3
guided	tackle	the person who plays that position on a football team	1.0	0.0	1.0	5.5	0.39	433.5	4.48	3.96	3.31
guided	tackle	gear consisting of ropes etc. supporting a ship's masts and sail...	1.0	1.0	1.0	6.12	2.41	548.0	4.76	3.89	3.27
guided	tackle	gear used in fishing	1.0	1.0	1.0	5.5	1.35	575.33	4.34	3.74	03.07
guided	tackle	accept as a challenge	0.0	0.0	0.0	6.25	0.0	322.0	4.16	2.57	3.23
guided	tackle	put a harness	1.0	0.0	1.0	4.33	5.81	416.0	03.02	3.32	1.79
guided	tackle	seize and throw down an opponent player, who usually carries the...	1.0	1.0	1.0	4.1	0.0	505.0	5.82	3.82	3.24
guided	target	a reference point to shoot at	1.0	1.0	1.0	5.6	0.4	529.67	5.13	3.25	1.85
guided	target	a person who is the aim of an attack	1.0	1.0	0.0	6.29	0.27	477.67	5.46	3.9	4.11
guided	target	the location of the target that is to be hit	1.0	0.0	1.0	2.0	0.0	526.33	4.32	3.74	3.12
guided	target	sports equipment consisting of an object set up for a marksman o...	1.0	1.0	1.0	5.23	1.58	516.86	5.21	3.86	2.99
guided	target	the goal intended to be attained	0.0	0.0	0.0	3.25	5.74	451.0	4.23	2.46	2.45
guided	tick	a metallic tapping sound	1.0	1.0	1.0	6.25	0.3	453.0	05.07	04.04	3.1
guided	tick	any of two families of small parasitic arachnids with barbed pro...	1.0	1.0	1.0	3.15	3.76	495.82	4.62	3.96	3.11
guided	tick	a mark indicating that something has been noted or completed etc...	1.0	1.0	1.0	3.62	0.87	441.57	5.24	03.06	3.18
guided	tick	a light mattress	1.0	1.0	1.0	8.0	4.44	553.5	4.18	4.61	3.21
guided	tick	make a clicking or ticking sound	1.0	0.0	1.0	4.0	7.47	458.0	05.01	3.45	2.85
guided	tick	make a sound like a clock or a timer	1.0	1.0	1.0	5.89	1.62	444.6	5.17	3.59	2.37
guided	tick	sew	1.0	0.0	1.0	4.0	0.0	440.0	4.0	3.93	2.7
guided	tick	put a check mark on or near or next to	1.0	1.0	1.0	4.22	8.81	497.8	4.5	3.23	2.85
guided	traded	be traded at a certain price or under certain conditions	0.0	0.0	1.0	3.44	0.0	483.0	3.34	2.28	03.03
guided	traded	exchange or give	1.0	1.0	1.0	4.67	0.0	400.0	2.74	2.78	2.7
guided	traded	do business; offer for sale as for one's livelihood	1.0	0.0	1.0	4.0	0.0	475.43	5.51	03.05	2.92
guided	whipped	beat severely with a whip or rod	1.0	1.0	1.0	4.33	4.57	529.25	4.83	3.71	2.85
guided	whipped	defeat thoroughly	0.0	0.0	0.0	3.5	0.0	330.5	05.09	2.58	2.61
guided	whipped	thrash about flexibly in the manner of a whiplash	0.0	0.0	0.0	4.71	0.0	497.75	5.47	2.89	03.08
guided	whipped	strike as if by whipping	1.0	0.0	0.0	1.0	5.38	538.5	5.13	3.98	2.61
guided	whipped	whip with or as if with a wire whisk	1.0	1.0	0.0	5.33	8.36	450.67	6.61	4.58	2.32
guided	whipped	subject to harsh criticism	0.0	0.0	0.0	2.33	0.0	564.33	4.42	2.48	3.47
guided	windows	a framework of wood or metal that contains a glass windowpane an...	1.0	1.0	1.0	6.37	1.73	486.58	4.42	4.22	3.22
guided	windows	a transparent opening in a vehicle that allow vision out of the ...	1.0	1.0	1.0	3.82	1.9	514.91	4.73	3.3	2.98
guided	windows	a transparent panel	1.0	0.0	0.0	5.67	1.55	489.0	4.29	3.72	2.89
guided	windows	an opening that resembles a window in appearance or function	1.0	0.0	0.0	6.56	2.28	468.8	4.84	3.28	2.95
guided	windows	the time period that is considered best for starting or finishin...	0.0	0.0	0.0	3.38	1.1	431.29	5.73	2.32	3.86
guided	windows	a pane of glass in a window	1.0	1.0	1.0	7.83	3.27	505.67	06.08	4.51	4.19
guided	windows	an opening in a wall or screen that admits light and air and thr...	1.0	0.0	1.0	5.67	01.07	489.57	4.61	4.31	2.32
guided	wired	provide with electrical circuits	1.0	0.0	1.0	4.0	5.16	609.5	2.7	03.06	3.66
guided	wired	send cables, wires, or telegrams	1.0	1.0	1.0	4.6	6.84	542.25	5.95	3.71	3.54
guided	wired	fasten with wire	1.0	1.0	1.0	2.0	5.33	481.5	6.81	4.43	2.45
guided	wired	string on a wire	1.0	1.0	1.0	4.5	5.33	541.5	5.79	4.74	3.11
guided	wired	equip for use with electricity	1.0	0.0	1.0	3.0	0.0	543.0	5.28	3.16	2.7
guided	wired	equipped with wire or wires especially for electric or telephone...	1.0	1.0	1.0	4.0		474.57	4.88	3.58	2.69
guided	wired	tense with excitement and enthusiasm as from a rush of adrenalin...	0.0	0.0	0.0	6.71		511.2	4.62	2.62	2.79
guided	wired	tied or bound with wire	0.0	1.0	1.0	3.75		472.67	5.98	04.02	2.17
guided	withering	any weakening or degeneration	0.0	0.0	0.0	3.0	0.0	471.5	4.68	2.17	4.19
guided	withering	wither, as with a loss of moisture	0.0	1.0	1.0	7.0	10.74	531.0	05.03	2.99	3.59
guided	withering	lose freshness, vigor, or vitality	0.0		0.0	5.4	0.0	498.0	5.46	2.1	3.24
guided	withering	wreaking or capable of wreaking complete destruction	0.0	0.0	0.0	4.0		502.4	06.07	2.71	3.77
guided	wolf	any of various predatory carnivorous canine mammals of North Ame...	1.0	1.0	1.0	04.08	2.71	493.8	5.28	3.28	3.81
guided	wolf	a man who is aggressive in making amorous advances to women	0.0	0.0	0.0	4.1	02.03	439.83	4.93	3.34	3.44
guided	wolf	a cruelly rapacious person	0.0	0.0	0.0	4.0	0.4	481.67	5.22	3.21	2.4
guided	wolf	eat hastily	1.0	1.0	0.0	0.5	7.52	542.0	3.9	3.38	4.19
guided	won	the basic unit of money in South Korea	1.0	1.0	1.0	4.0	0.98	488.8	5.16	3.52	3.15
guided	won	the basic unit of money in North Korea	1.0	1.0	1.0	4.0	0.98	476.8	4.58	3.52	2.99
guided	won	be the winner in a contest or competition; be victorious	1.0	1.0	1.0	4.44	0.0	499.0	4.95	3.21	2.68
guided	won	win something through one's efforts	1.0	0.0	0.0	1.75	8.73	437.4	4.52	2.7	03.09
guided	won	obtain advantages, such as points, etc.	0.0	0.0	1.0	2.6	0.0	558.17	5.47	3.2	3.2
guided	won	attain success or reach a desired goal	0.0	0.0	1.0	5.0	0.0	519.4	4.75	2.62	2.25
guided	won	not subject to defeat	0.0	0.0	1.0	2.67		507.0	4.85	03.05	2.91
guided	wounded	people who are wounded	1.0	1.0	1.0	3.33	2.86	526.5	4.33	4.23	3.32
guided	wounded	cause injuries or bodily harm to	1.0	1.0	1.0	4.2	3.53	532.5	06.08	2.94	3.44
guided	wounded	hurt the feelings of	0.0	0.0	0.0	4.0	8.47	539.0	4.55	2.64	2.89
guided	wounded	suffering from physical injury especially that suffered in battl...	1.0	1.0	1.0	3.29		505.5	05.04	3.0	2.95
guided	wrestled	combat to overcome an opposing tendency or force	0.0	0.0	0.0	5.0	0.0	515.0	4.91	2.62	03.02
guided	wrestled	engage in deep thought, consideration, or debate	0.0	0.0	0.0	4.71	1.28	474.71	5.16	2.49	3.5
guided	wrestled	to move in a twisting or contorted motion,	1.0	0.0	1.0	4.43	5.15	533.4	05.02	3.34	03.05
guided	wrestled	engage in a wrestling match	1.0	1.0	1.0	4.4	6.66	542.67	5.21	3.53	3.58
