Annotation,word,definitions,A1,A2,M-T,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,foundation,education or instruction in the fundamentals of a field of knowl...,0,0,0,6.5,1.38,478.4,4.1,2.77,2,0.2052246191,0.1962890327
control,foundation,the fundamental assumptions from which something is begun or dev...,0,0,0,4.5,0.15,481.5,4.72,1.94,3.39,0.1483034213,0.1360505492
control,foundation,a woman's undergarment worn to give shape to the contours of the...,0,0,0,5.62,3.03,470,4.85,3.9,2.84,0.04856461247,0.0636260894
control,foundation,the act of starting something for the first time; introducing so...,0,0,0,3.67,1.46,440.67,5,2.41,3.29,0.05852010753,0.08723148418
control,fox,alert carnivorous mammal with pointed muzzle and ears and a bush...,1,1,1,4.65,2.07,473.56,5.19,3.84,3.09,0.119054286,0.2510741977
control,fox,a shifty deceptive person,0,0,0,4,0.4,452.33,5.1,2.8,2.9,0.05519255002,0.1402552401
control,fox,the grey or reddish-brown fur of a fox,0,0,1,5,1.65,490,4.24,4.59,2.46,0.2601928264,0.3626748323
control,fox,deceive somebody,0,0,0,4,2.8,515,4.19,2.74,2.87,0.0111149,0.164909631
control,fox,be confusing or perplexing to; cause to be unable to think clear...,0,0,0,1.44,2.38,531.86,5.1,2.06,2.75,-0.003781289328,0.05362598505
control,fox,"become discolored with, or as if with, mildew spots",0,0,0,3.83,1.36,517.8,5.08,2.96,3.5,-0.0008564743912,0.07301843027
control,fried,be excessively hot,0,0,0,0,0,539,5.15,3.23,3.74,0.1095281634,0.1787774786
control,fried,cook on a hot surface using fat,1,1,1,3,0,544.6,4.58,4.35,2.77,0.1954382764,0.2558723852
control,fried,"kill by electrocution, as in the electric chair",0,0,0,3.29,0,509.8,4.28,3.96,3.43,0.05931594176,0.1182153588
control,fried,cooked by frying in fat,1,1,1,3,,497.33,4.59,4.52,2.28,0.5447658251,0.5059697032
control,friendly,troops belonging to or allied with your own military forces,0,0,1,2,0,409.25,5.11,2.82,2.66,0.03302639001,0.07296905071
control,friendly,characteristic of or befitting a friend,0,1,1,6,,570.33,5.03,2.5,2.7,0.1711097596,0.1806617031
control,friendly,inclined to help or support; not antagonistic or hostile,1,1,1,3,,451.83,5.53,2.54,2.93,0.1964198008,0.2604004502
control,friendly,easy to understand or use,0,0,1,3.75,,527.33,3.42,2.38,2.61,0.0964210704,0.1486906707
control,friendly,of or belonging to your own country's forces or those of an ally,0,0,1,4.38,,501.8,4.78,2.92,2.97,0.06273675337,0.07692158269
control,fruit,the ripened reproductive body of a seed plant,1,1,1,5.33,1.35,460.8,5.48,4.22,3.87,0.2622952029,0.2518265933
control,fruit,an amount of a product,0,0,0,7.75,0.4,470,4.64,3.46,2.98,0.1087400503,0.1776314899
control,fruit,the consequence of some effort or action,0,0,0,5.4,2.71,476.67,4.1,2.61,2.35,0.05199350261,0.08533739795
control,fruit,cause to bear fruit,0,1,1,1,0,556.67,5.08,4.04,3.32,0.07261500694,0.160218019
control,fruit,bear fruit,0,0,1,2,0,561.5,4.25,4.84,3.35,0.1211245507,0.222738266
control,fuel,a substance that can be consumed to produce energy,1,1,1,3.29,0.27,436,3.24,3.29,2.42,0.217923291,0.2529689707
control,fuel,provide with a combustible substance that provides energy,1,0,1,5.33,5.16,506.2,3.42,3.12,2.28,0.2498009022,0.1802362423
control,fuel,provide with fuel,0,0,1,4,5.16,544.5,4.85,3.51,2.9,0.05135350302,0.05902179331
control,fuel,"take in fuel, as of a ship",0,0,1,5.8,0,520.75,5.78,4.08,3.49,0.03291289508,0.07512126979
control,fuel,stimulate,0,0,0,1,0,548,2.97,3.22,2.2,0.09180744737,0.157715112
control,guns,a weapon that discharges a missile at high velocity,1,1,1,7.75,1.66,423.2,4.82,3.83,2.54,0.2854324766,0.2139746547
control,guns,large but transportable armament,0,0,1,1.75,0,393,4.2,3.2,4.11,0.2550291369,0.1747398575
control,guns,a person who shoots a gun,0,0,1,7,2.2,508,5.54,4.51,3.52,0.44587804,0.3891230449
control,guns,a professional killer who uses a gun,0,0,1,5.43,3.96,516.5,4.41,3.47,3.99,0.2787359897,0.2880708666
control,guns,a hand-operated pump that resembles a revolver; forces grease in...,0,0,0,5.55,0.86,509.56,5.21,4.03,2.44,0.1832550667,0.1900726373
control,guns,a pedal that controls the throttle valve,0,0,0,8.8,4.6,503.25,4.5,3.86,3.69,0.06051365193,0.1038322616
control,guns,the discharge of a firearm as signal or as a salute in military ...,0,0,1,7.25,1.61,301,4.76,4.06,2.84,0.2107827452,0.2037696137
control,guns,shoot with a gun,1,0,1,5.33,4.81,506.5,5.49,4.4,3.47,0.6576393694,0.5593934059
control,hat,headdress that protects the head from bad weather; has shaped cr...,1,1,1,5.09,2.56,511.9,4.94,3.58,2.38,0.2114035082,0.2050270405
control,hat,an informal term for a person's role,0,0,0,6,0.99,559.6,5.49,2.99,3.55,0.05322589236,0.09766739933
control,hat,put on or wear a hat,1,0,1,4.6,0,497.33,3.79,3.66,2.41,0.2274873052,0.2165456489
control,hat,furnish with a hat,0,0,1,6.5,5.16,522.5,3.68,4.32,2.25,-0.01881384104,-0.0109235812
control,healthy,having or indicating good health in body or mind; free from infi...,1,1,1,5.85,,527.33,5.53,2.78,2.81,0.2015467412,0.2358779786
control,healthy,financially secure and functioning well,0,0,0,0.75,,486.25,4.94,2.79,3.63,0.2115562446,0.2278415933
control,healthy,promoting health; healthful; ; ; ; ; - C.B.Davis,0,0,1,2.33,,495,5.9,2.58,2.15,0.4804185033,0.3734910289
control,healthy,exercising or showing good judgment,0,0,0,2.8,,462,5.83,2.13,2.53,0.1420041583,0.2351502227
control,healthy,large in amount or extent or degree,0,0,0,4.86,,510.75,4,2.64,2.77,-0.01226455998,0.09000145132
control,hungers,a physiological need for food; the consequence of food deprivati...,1,1,1,4.14,0.24,517.71,4.75,2.97,2.33,0.2140744363,0.1519642243
control,hungers,strong desire for something,0,0,0,2.5,,395.67,6.46,2.22,2.74,0.1743188736,0.2078210066
control,hungers,feel the need to eat,1,1,1,1.33,0,541.67,3.42,2.8,3.54,0.212344418,0.2218294491
control,hungers,"have a craving, appetite, or great desire for",0,0,0,3.86,5.72,530.83,5.37,2.08,2.93,0.3746542302,0.3525688164
control,hungers,be hungry; go without food,0,1,1,1.25,0,503.4,4.82,3.25,2.63,0.2759117451,0.2196170036
guided,immersed,thrust or throw into,0,1,1,3.67,0,553,4.69,3.66,2.36,0.1888194531,0.1589491293
guided,immersed,devote,0,0,0,1,0,599,5,2,5.4,0.2444671541,0.3234090507
guided,immersed,"enclose or envelop completely, as if by swallowing",0,1,1,3.14,3.54,448.8,5,2.9,2.87,0.1858187988,0.1993837282
guided,immersed,cause to be immersed,1,1,0,0,0,410,5.14,2.43,3.44,-0.07343122363,-0.02891235612
guided,infected,communicate a disease to,0,0,1,6,0,412,4.29,3.44,3.15,0.2859386317,0.3302743509
guided,infected,contaminate with a disease or microorganism,1,1,1,6.8,11.53,531.33,5.09,3.42,3.04,0.4382900894,0.3503493766
guided,infected,corrupt with ideas or an ideology,0,0,0,6.6,10.78,348.67,5.45,1.75,2.68,0.06694363151,0.07986972605
guided,infected,affect in a contagious way,0,0,0,5,0,404.67,5.09,2.33,2.56,0.2511116515,0.2040360893
guided,infected,containing or resulting from disease-causing organisms,0,1,1,3.75,,483.33,4.06,2.11,3.05,0.1566982611,0.1793865201
guided,infiltrates,cause,0,0,1,0,0,547,6.74,2.43,3.27,0.0484977141,0.07984159887
guided,infiltrates,enter a group or organization in order to spy on the members,0,0,0,5.1,0,432.4,2.99,3.43,3.25,0.1649280445,0.1453273656
guided,infiltrates,pass into or through by filtering or permeating,0,1,1,3.43,6.02,374.5,3.54,3,3.09,0.1926096156,0.1680734269
guided,infiltrates,pass through an enemy line; in a military conflict,1,0,0,5.22,0,438.2,5.5,3.38,2.21,-0.01597357541,0.04399723485
guided,inventory,a detailed list of all the items in stock,1,1,1,4.57,1.1,518,4.46,3.63,2.54,0.3488596901,0.2325558439
guided,inventory,the merchandise that a shop has on hand,0,1,1,5.83,1.68,529,3.7,4.52,2.45,0.2675162291,0.2189918905
guided,inventory,,0,0,1,,,,,,,,
guided,inventory,a collection of resources,0,0,1,6.67,0.6,514,4.31,4.04,4.2,0.3054152578,0.2644108087
guided,inventory,making an itemized list of merchandise or supplies on hand,1,1,1,4,0.45,485.67,4.06,3.75,3.04,0.2841633042,0.2289974789
guided,inventory,make or include in an itemized record or report,0,0,1,5.44,1.15,452.8,4.56,3.26,2.89,0.1732761517,0.1230563626
guided,invested,make an investment,0,1,1,6,0,383,5.9,3.13,2,0.3717876393,0.3200723268
guided,invested,give qualities or abilities to,0,0,1,4.75,0,471,3.8,2.27,2.36,0.05615516379,0.07152269532
guided,invested,furnish with power or authority; of kings or emperors,1,1,1,7.43,4.6,492.5,4.6,2.71,1.96,0.06694880575,0.04535643607
guided,invested,provide with power and authority,0,0,1,4.33,0,538,3.86,2.37,2.35,0.08555928369,0.07126884597
guided,invested,place ceremoniously or formally in an office or position,0,1,1,5,0,417.4,4.64,3.09,2.99,0.07617273144,0.0557667762
guided,killer,someone who causes the death of a person or animal,1,1,1,6.38,0.67,492,5.36,3.84,3.05,0.06563692093,0.23011792
guided,killer,the causal agent resulting in death,0,0,1,4.4,0.27,503,5.68,2.9,3.11,0.1366508752,0.1844130065
guided,killer,a difficulty that is hard to deal with,0,0,0,3.8,0.6,398.67,4.31,2.92,2.87,0.04501360143,0.1064266016
guided,killer,predatory black-and-white toothed whale with large dorsal fin; c...,0,1,1,3,1.33,483.8,4.83,3.64,2.85,0.08644838776,0.09334984256
guided,lit,the humanistic study of a body of literature,0,1,1,7,2.66,509.75,4.59,3.6,2.7,0.0886269249,0.04300484306
guided,lit,make lighter or brighter,0,1,1,2.75,0,505.33,5.82,3.6,2.24,0.2260648621,0.2038251981
guided,lit,begin to smoke,0,1,1,0.5,0,526.5,4.01,3.76,2.55,0.1276171948,0.1543991165
guided,lit,"to come to rest, settle",0,0,0,0.67,0,522.75,5.22,2.69,2.86,0.009789318234,0.1131861384
guided,lit,cause to start burning; subject to fire or great heat,1,1,1,2,1.29,448.12,5.65,3.2,2.31,0.1620265808,0.2031992504
guided,lit,fall to somebody by assignment or lot,0,0,1,4.5,8.12,485.5,5.11,3.85,3.56,0.03721476626,0.06779459282
guided,lit,alight from,0,1,1,2,6.92,372,5.91,2.96,3.36,0.5106533766,0.4268910587
guided,lit,provided with artificial light,0,1,1,0.67,,484.33,4.35,3.15,2.5,0.2727766732,0.2489659141
guided,lit,set afire or burning,0,1,1,3,,493.67,5.81,3.63,2.98,0.3761533201,0.3874610464
guided,mad,roused to anger; - Mark Twain,0,1,0,6.5,,423.33,5.82,2.41,2.62,0.1931075975,0.1820559539
guided,mad,affected with madness or insanity,1,1,1,6,,571.67,4.72,2.08,2.19,0.3797188761,0.2653133248
guided,mad,marked by uncontrolled excitement or emotion,1,0,1,3.67,,482,5,2.63,3.87,0.1326932246,0.1666035312
guided,mad,very foolish,0,0,1,0,,504,6.06,1.84,2.4,0.3798252344,0.416736871
guided,mother,a woman who has given birth to a child,1,1,1,5,1.47,471.5,4.78,4.01,2.21,0.3012879719,0.3996181139
guided,mother,a stringy slimy substance consisting of yeast cells and bacteria...,0,1,0,4.53,2.92,435.07,4.7,3.84,2.51,0.005087440933,0.05784203248
guided,mother,a term of address for an elderly woman,0,0,1,5.83,1.66,520,5.2,3.71,2.9,0.1677999854,0.2543974228
guided,mother,a term of address for a mother superior,0,0,1,6.4,0.78,572.5,5.15,3.34,2.41,0.04811150883,0.01582688062
guided,mother,a condition that is the inspiration for an activity or situation,0,0,0,5.75,1.56,411.5,3.91,2.27,3.06,0.06046488031,0.1251948257
guided,mother,care for like a mother,0,1,1,6.33,6.66,530.67,4.77,2.94,2.45,0.08440250531,0.1178835798
guided,mother,make children,0,1,1,4,2.94,344,4.81,3.72,2.38,0.2186726229,0.3307909183
guided,nurse,one skilled in caring for young children or the sick,0,1,1,2.75,2.07,377.5,4.65,3.1,2.69,0.2236096387,0.2445195342
guided,nurse,a woman who is the custodian of children,1,1,1,5.83,3.23,450.33,5.22,4.63,2.57,0.2316094538,0.3532070319
guided,nurse,"try to cure by special care of treatment, of an illness or injur...",1,1,1,5.5,0,541.62,4.58,2.74,2.65,0.1404158114,0.1524917454
guided,nurse,maintain,0,0,0,1,0,580,5.87,2.32,1.9,0.1466759741,0.04627930745
guided,nurse,serve as a nurse; care for sick or handicapped people,0,1,1,5.12,4.33,475.86,4.89,3.66,2.59,0.2077224374,0.2162680242
guided,nurse,treat carefully,0,0,1,1,2.55,534,5.85,2.97,3.49,0.1526416726,0.1086456142
guided,nurse,give suck to,0,0,1,2.5,5.33,440.5,2.15,3.14,2.35,0.09386513941,0.04254188761
guided,nursing,the work of caring for the sick or injured or infirm,0,1,1,3.29,0,426.2,4.9,2.95,2.6,0.2667797595,0.2891075701
guided,nursing,the profession of a nurse,0,1,1,7.67,3.37,494,4.17,3.61,2.86,0.5132062435,0.4592257887
guided,nursing,nourishing at the breast,1,1,1,4,0.6,337.5,6.16,3.79,2.09,0.2273114473,0.1290118769
guided,nursing,"try to cure by special care of treatment, of an illness or injur...",1,1,1,5.5,0,541.62,4.58,2.74,2.65,0.1677200728,0.2003257727
guided,nursing,maintain,0,0,0,1,0,580,5.87,2.32,1.9,0.1297557503,0.08488266915
guided,nursing,serve as a nurse; care for sick or handicapped people,0,1,1,4.89,6.05,475.86,4.89,3.66,2.59,0.3130099075,0.3075261948
guided,nursing,treat carefully,0,0,1,1,2.55,534,5.85,2.97,3.49,0.1085841209,0.08159031533
guided,nursing,give suck to,0,0,1,2.5,5.33,440.5,2.15,3.14,2.35,0.05626401049,0.03684475273
guided,nuts,usually large hard-shelled seed,1,1,1,1,,456.25,5.15,3.37,3.43,0.07875102138,0.1548056006
guided,nuts,a small,0,0,0,5,0.8,471,5.03,3.22,5.1,-0.04834993556,0.1064821184
guided,nuts,half the width of an em,0,0,0,5,2.42,540.33,4.06,3.46,3.12,0.07480555773,0.1472041657
guided,nuts,a whimsically eccentric person,0,0,0,5.25,3.72,544.67,4.88,2.92,3.47,0.1532864114,0.120213521
guided,nuts,someone who is so ardently devoted to something that it resemble...,0,0,0,3.6,0.47,419.5,5.6,2.38,2.52,0.07398115595,0.1510619819
guided,nuts,one of the two male reproductive glands that produce spermatozoa...,1,0,0,5.11,1.97,406.67,4.39,3.76,3.42,0.01936864819,0.08879417015
guided,nuts,gather nuts,0,1,1,3,0,565.5,4.92,3.64,2,0.4081956204,0.3734151199
guided,nuts,informal or slang terms for mentally irregular,0,0,0,3.5,,501.2,4.65,2.38,3.46,0.04036063869,0.05383818366
guided,overcame,win a victory over,0,1,,5.75,,498,3.56,2.61,2.39,0.3654790074,0.3091924787
guided,overcame,get on top of; deal with successfully,0,0,0,2.6,0,397.2,3.94,2.84,2.13,0.1294942405,0.09576306492
guided,overcame,"overcome, as with emotions or perceptual stimuli",0,0,0,4.83,8.63,461,4.97,2.16,3.07,0.2331955256,0.2106785938
guided,overcame,"overcome, usually through no fault or weakness of the person tha...",1,1,0,3.5,7.27,502.71,4.72,2.72,2.87,0.2628836612,0.2521532501
guided,pet,a domesticated animal kept for companionship or amusement,1,1,1,5.86,1.46,480.6,5.22,2.96,3.74,0.3352750316,0.3115177587
guided,pet,a special loved one,0,0,0,2.5,0.8,529,3.61,2.86,2.04,0.1197135461,0.1589503189
guided,pet,a fit of petulance or sulkiness,0,0,0,6.4,5.35,493,4.61,2.19,3.79,0.01931449647,0.1061015526
guided,pet,stroke or caress gently,0,1,1,4.25,8.89,427.67,4.76,3.42,2.5,0.2087827548,0.09500704954
guided,pet,"stroke or caress in an erotic manner, as during lovemaking",1,1,0,6.11,8.89,491.17,4.51,3.22,2.83,0.1620993227,0.1091910392
guided,pet,preferred above all others and treated with partiality,0,0,0,1.4,,473.25,4.65,2,2.07,0.05736375391,0.08232425991
guided,pieced,to join or unite the pieces of,0,1,1,4.25,4.6,534,5.31,3.19,2.95,0.3185349181,0.1967923079
guided,pieced,create by putting components or members together,1,,,2.57,0,488.67,6.32,2.68,3.33,0.2061345041,0.1973101467
guided,pieced,join during spinning,0,1,1,4,0,529,4.66,3.34,2.99,0.08284584805,0.1197175882
guided,pieced,eat intermittently; take small bites of,0,0,0,1.6,2.36,507.2,5.35,3.21,3.04,0.07794795297,0.1240244687
guided,pieced,repair by adding pieces,0,,1,2,5.47,524.67,4.51,3.73,2.21,0.308848083,0.218291161
guided,pig,domestic swine,1,1,1,6.5,11,504,5.31,3.54,2.45,0.5118468553,0.3816784602
guided,pig,a coarse obnoxious person,0,0,0,4,0.4,555.67,4.2,3.41,4.2,0.08567743748,0.2027978102
guided,pig,a person regarded as greedy and pig-like,0,0,0,4.4,0.53,466.75,5.69,3.68,3.21,0.05191993713,0.1411486553
guided,pig,uncomplimentary terms for a policeman,0,0,0,5.25,2.97,565.33,3.33,3.23,2.71,0.05556754551,0.1026019299
guided,pig,mold consisting of a bed of sand in which pig iron is cast,0,1,0,6.78,1.12,524.71,4.68,4.73,3.28,0.02950578249,0.1126207585
guided,pig,a crude block of metal,0,1,0,6.25,1.3,388.67,5.36,3.77,3.07,0.07243685114,0.1363772079
guided,pig,"live like a pig, in squalor",0,0,0,6.4,7.77,531.8,5.54,3.31,3.27,0.05856966258,0.1507996917
guided,pig,eat greedily,0,0,0,0.5,7.52,534.5,2.62,3.37,3.55,0.1374338716,0.2331887111
guided,pig,give birth,0,0,,2.5,0,454,3.16,3.64,2.2,-0.003999484703,0.05523640662
guided,planted,put or set,0,0,1,4,6.12,441.5,4.28,2.96,2.68,0.2975114882,0.215925552
guided,planted,fix or set securely or deeply,0,0,0,3.67,0,505,4.35,2.8,4.2,0.1194623532,0.08580396324
guided,planted,set up or lay the groundwork for,0,0,0,4.8,3.25,465.67,4.79,3.36,2.69,0.2022768855,0.1594854966
guided,planted,place into a river,0,0,0,5.33,0,427,5.92,4.18,3.4,0.08550602756,0.1100699529
guided,planted,place something or someone in a certain position in order to sec...,0,0,0,4.23,2.27,455.89,4.33,2.49,3.13,0.05061128637,0.08759938387
guided,planted,put firmly in the mind,0,0,0,4,0,505,4.17,2.44,2.48,0.1828959969,0.1803046788
guided,planted,?,,,0,,,,,,,,
guided,planted,set in the soil for growth,1,1,1,4.5,,496.33,6.1,3.72,4.08,0.2637640337,0.2166645279
guided,pour,cause to run,0,,1,0.5,0,499,6.65,3.37,3.49,0.1162420306,0.1967700198
guided,pour,move in large numbers,0,0,0,1.75,0,505,3.78,3.31,3.69,0.0792582032,0.1109438955
guided,pour,pour out,0,0,1,0,,503,5.91,4.14,1.7,,
guided,pour,flow in a spurt,0,1,1,4.75,4.78,513.5,5.55,3.5,3.4,0.3569581211,0.2658835873
guided,pour,supply in large amounts or quantities,0,0,0,4.17,2.58,568.67,3,3.18,3.52,0.1146252397,0.1255242899
guided,pour,rain heavily,1,1,1,0.5,8.8,582.5,3.31,4.06,4.45,0.1633558869,0.1053281995
guided,poured,cause to run,0,,1,0.5,0,499,6.65,3.37,3.49,0.06602588762,0.1433864757
guided,poured,move in large numbers,0,0,0,1.75,0,505,3.78,3.31,3.69,0.03029850932,0.0724950619
guided,poured,pour out,0,0,1,1,10.7,503,5.91,4.14,1.7,0.7429929376,0.7490741611
guided,poured,flow in a spurt,0,1,1,4.75,4.78,513.5,5.55,3.5,3.4,0.3112479001,0.2562184408
guided,poured,supply in large amounts or quantities,0,0,0,4.17,2.58,568.67,3,3.18,3.52,0.104616778,0.113590708
guided,poured,rain heavily,1,1,1,0.5,8.8,582.5,3.31,4.06,4.45,0.1575129554,0.1298025995
guided,regurgitate,pour or rush back,0,0,1,3.75,0,493,5.11,3.79,2.73,0.1341842016,0.1735637387
guided,regurgitate,feed through the beak by regurgitating previously swallowed food,0,1,1,2.62,3.333333333e+299,480,5.17,3.89,2.49,0.3008850636,0.2940301718
guided,regurgitate,repeat after memorization,0,0,0,3.33,0,471,4.61,2.66,2.52,0.2393932045,0.3236921281
guided,regurgitate,eject the contents of the stomach through the mouth,1,1,1,3.2,0,509,4.47,4.28,2.8,0.2501498088,0.2408676632
guided,related,make a logical or causal connection,1,0,0,4,0,448,4.48,2.48,2.98,0.1697005937,0.220510127
guided,related,be relevant to,0,0,0,0,0,454,6.29,1.72,3.09,0.4730761647,0.336314261
guided,related,give an account of,0,1,0,4,1.67,418,4.24,2.96,3.65,0.05261344835,0.1233952828
guided,related,be in a relationship with,0,0,0,4.75,0,411,6.43,2.8,4.3,0.2568735778,0.04036529362
guided,related,have or establish a relationship to,0,0,0,5,1.4,509.5,4.76,2.4,4.6,0.1501749773,0.05388700217
guided,related,being connected either logically or causally or by shared charac...,1,0,0,3.1,,509.33,4.64,2.15,2.61,0.2479649968,0.2016651879
guided,related,"connected by kinship, common origin, or marriage",0,1,1,3.14,,552,5.45,2.3,2.96,0.2682647169,0.1989603728
guided,rooted,take root and begin to grow,0,1,1,1.5,3.34,544.5,4.58,3.25,2.02,0.2169960709,0.1801225881
guided,rooted,"come into existence, originate",0,0,0,2.33,5.65,527.25,4.79,2.16,3.52,0.1499492253,0.2145623465
guided,rooted,plant by the roots,1,1,1,2.33,6.88,498.5,4.4,4.55,2.55,0.4351532534,0.2707801647
guided,rooted,dig with the snout,0,1,1,7.5,,533,6.19,4.61,4.74,0.1211471171,0.1223093783
guided,rooted,become settled or established and stable in one's residence or l...,0,0,0,4,3.08,436.22,5.45,2.94,3.05,0.1208741877,0.1393791141
guided,rooted,cause to take roots,0,,1,2,3.54,537,5.29,3.28,2.29,0.2795002277,0.2415999373
guided,rooted,absolutely still,0,0,0,0.5,,500.5,4.78,2.72,2.82,0.09478885867,0.1357038692
guided,shattered,break into many pieces,1,1,1,1.33,4.45,519,5.1,3.41,2.89,0.1805158801,0.1513443142
guided,shattered,damage or destroy,0,0,0,3.33,0,472,4.46,3.14,2.41,0.3877201527,0.3244763911
guided,shattered,cause to break into many pieces,0,1,1,0.75,2.97,526,5.51,3.16,2.99,0.1440522603,0.1323142704
guided,shattered,ruined or disrupted,0,0,0,3.67,,516.5,6.06,2.96,3.21,0.4584975839,0.4411151558
guided,shouldered,lift onto one's shoulders,1,1,1,2.67,9.92,461,4.53,3.81,3.1,0.2648605662,0.1820229329
guided,shouldered,push with the shoulders,1,1,1,2,4.96,522.5,4.56,4.57,2.52,0.3832342643,0.2367908061
guided,shouldered,"carry a burden, either real or metaphoric",0,,0,3.29,6.25,422.67,4.6,2.57,3.42,0.1263340335,0.1267148864
guided,shouldered,having shoulders or shoulders as specified; usually used as a co...,0,0,1,3.42,,524.5,4.45,3.46,2.68,0.2133411257,0.1594281841
guided,sick,people who are sick,0,1,1,3.33,2.86,380.5,5.71,3.9,2.98,0.1246455684,0.2594211102
guided,sick,eject the contents of the stomach through the mouth,1,1,1,3.2,0,509,4.47,4.28,2.8,0.0572759537,0.1486075767
guided,sick,affected by an impairment of normal physical or mental function,1,1,1,3.44,,523.33,3.53,2.18,2.52,0.1166371124,0.1368234085
guided,sick,feeling nausea; feeling about to vomit,0,1,1,4,,520,3.66,2.87,1.51,0.2654254586,0.3398104608
guided,sick,affected with madness or insanity,0,1,1,6,,571.67,4.72,2.08,2.19,0.1855421563,0.1383439203
guided,sick,having a strong distaste from surfeit,0,0,0,3.8,,535.67,5.37,2.59,1.8,0.07118585954,0.07550493255
guided,sick,,,0,0,,,,,,,,
guided,sick,deeply affected by a strong feeling,0,0,0,2.17,,579.5,3.66,2.19,2.17,0.1475239489,0.1788200876
guided,sick,shockingly repellent; inspiring horror,0,0,0,3.25,,518.8,4.67,2.22,1.79,0.06211266783,0.1438232958
guided,smart,a kind of pain such as that caused by a wound or a burn or a sor...,1,1,1,5.67,0.96,491.67,4.18,3.43,3.8,0.04336514355,0.0941804053
guided,smart,be the source of pain,0,0,1,3,0,578,4,3.23,2.86,0.01935437869,0.0463799499
guided,smart,showing mental alertness and calculation and resourcefulness,1,1,0,5.2,,474.6,4.29,2.36,3.42,0.0962398842,0.09545330778
guided,smart,elegant and stylish,0,1,0,0,,461,5.22,2.22,1.86,0.4556381553,0.353753686
guided,smart,characterized by quickness and ease in learning,1,1,0,2.67,,502.5,4.31,2.66,3.38,0.07515074126,0.1287241261
guided,smart,improperly forward or bold,0,0,0,6.25,,510,5.19,2.36,2.55,0.1686353174,0.2166804969
guided,smart,painfully severe,0,0,1,0,,553,6.24,2.48,2.85,0.09842877835,0.09343600832
guided,smart,quick and brisk,0,0,1,0,,558.5,5.02,2.7,3.65,0.3326934129,0.2872134224
guided,smart,capable of independent and apparently intelligent action,1,0,0,1,,499,5.57,2.26,3.82,0.2650338337,0.2476056091
guided,sold,exchange or deliver for money or its equivalent,1,1,1,7.57,0,527,4.06,3.24,3.06,0.1512511801,0.1585032586
guided,sold,be sold at a certain price or in a certain way,0,1,1,4.4,0,516.4,4.09,2.46,2.59,0.1232851818,0.1608778331
guided,sold,persuade somebody to accept something,0,0,0,1.33,3.34,432.5,4.98,2.68,3.54,0.01584081817,0.05831469269
guided,sold,do business; offer for sale as for one's livelihood,0,1,1,4,0,475.43,5.51,3.05,2.92,0.2533770859,0.2433739144
guided,sold,give up for a price or reward,0,0,0,5.33,0,453.33,2.74,3.29,2.45,0.2119032256,0.1702939849
guided,sold,be approved of or gain acceptance,0,0,0,5,0,498,5.25,2.22,3.08,0.1217017459,0.1249911177
guided,sold,be responsible for the sale of,0,0,1,2,2.55,451.5,4.61,2.53,2.89,0.3706516102,0.3867469728
guided,sold,deliver to an enemy by treachery,0,0,0,4.8,0,510.33,5.14,2.55,2.86,0.0848187323,0.05578642866
guided,sold,disposed of to a purchaser,0,0,1,5.33,,434,5.5,2.74,3.42,0.3689039648,0.3561292887
guided,spineless,"weak in willpower, courage or vitality",0,0,0,5.5,,448.6,5.28,1.89,3.16,0.2174941348,0.2045198334
guided,spineless,lacking a backbone or spinal column,1,1,1,5.5,,479.5,4.95,4.1,3.68,0.2164551653,0.1296159476
guided,spineless,lacking spiny processes,0,0,1,0.67,,549.33,4.15,3.02,3.18,0.1441650496,0.145209685
guided,spineless,lacking thorns,0,1,1,4,,554,4.06,,5.09,0.1816676185,0.2436403409
guided,splashed,cause,0,0,1,0,0,547,6.74,2.43,3.27,0.03086652048,0.03877397254
guided,splashed,walk through mud or mire,0,0,1,4,1.85,544.33,3.65,4.46,2.76,0.1423165624,0.1279231782
guided,splashed,dash a liquid upon or against,1,1,1,6.25,,485.33,4.87,3.65,3.85,0.202457423,0.1193171057
guided,splashed,mark or overlay with patches of contrasting color or texture; ca...,0,0,0,4.08,0,502,5.01,3.63,2.81,0.16154322,0.1417271082
guided,splashed,make a splashing sound,0,0,1,3.75,6.2,445.67,4.1,3.59,2.83,0.2327158789,0.2806345895
guided,splashed,soil or stain with a splashed liquid,1,1,1,6,0,460,5.11,4.38,3.63,0.2055374533,0.140701741
guided,splashed,strike and dash about in a liquid,0,1,1,6.5,,485.67,4.97,4.06,3.71,0.1471875198,0.1298071522
guided,splashed,,,0,1,,,,,,,,
guided,splashed,covered with bright patches,0,0,0,2.33,,567.67,3.18,4.01,2.49,0.206550551,0.1915296266
guided,stab,a sudden sharp feeling,0,0,0,3.25,0.6,501.33,3.4,2.54,1.74,0.1721981882,0.1107007153
guided,stab,a strong blow with a knife or other sharp pointed instrument,1,1,1,4.7,0.12,462.17,5.26,3.91,2.53,0.3065480391,0.2145175021
guided,stab,informal words for any attempt or effort,0,0,0,4.33,1.57,383.75,3.57,2.58,3.09,0.06406493578,0.1203240186
guided,stab,use a knife on,0,0,1,3.5,4.86,487.5,2.78,3.84,2.08,0.3174175546,0.3052766994
