Annotation	word	definitions	BM_original	Source	VVAA	A1	A2	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	niche	(ecology) the status of an organism within its environment and community (affecting its survival as a species)	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	0.0	0.0	6.14	0.92	485.0	5.21	2.9	3.44
control	niche	a position particularly well suited to the person who occupies it	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	0.0	0.0	4.44	1.53	463.83	4.76	03.08	3.29
control	niche	a small concavity	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	1.0	1.0	1.0	5.33	1.45	469.5	5.0	3.22	2.58
control	niche	an enclosure that is set back or indented	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	1.0	1.0	5.0	0.9	457.0	4.44	3.87	3.11
control	niche	(ecology) the status of an organism within its environment and community (affecting its survival as a species)	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	0.0	0.0	6.14	0.92	485.0	5.21	2.9	3.44
control	government	the organization that is the governing authority of a political unit	the people who control a country, region, or town and make decisions about its laws and taxes	https://doi.org/10.1075/ps.16055.sun	1.0	1.0	1.0	4.86	1.14	497.0	4.31	2.63	3.16
control	government	the act of governing; exercising authority	the people who control a country, region, or town and make decisions about its laws and taxes	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	0.0	7.0	2.84	560.8	4.28	2.34	3.64
control	government	(government) the system or form by which a community or other political unit is governed	the people who control a country, region, or town and make decisions about its laws and taxes	https://doi.org/10.1075/ps.16055.sun	1.0	0.0	0.0	4.25	0.22	486.89	4.94	03.01	3.46
control	government	the study of government of states and other political units	the people who control a country, region, or town and make decisions about its laws and taxes	https://doi.org/10.1075/ps.16055.sun	0.0	0.0	0.0	3.0	0.2	493.0	4.11	3.14	2.7
control	branch	a division of some larger or more complex organization	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	0.0	0.0	5.0	1.19	488.75	04.02	2.59	2.81
control	branch	a division of a stem, or secondary stem arising from the main stem of a plant	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	1.0	1.0	1.0	7.92	0.7	491.0	4.37	3.75	2.88
control	branch	a part of a forked or branching shape	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	0.0	6.57	0.24	382.25	4.64	3.17	2.32
control	branch	a natural consequence of development	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	0.0	0.0	7.75	1.22	391.67	4.26	2.3	3.54
control	branch	a stream or river connected to a larger one	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	0.0	3.75	1.89	444.0	4.79	04.01	03.02
control	branch	any projection that is thought to resemble a human arm	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	0.0	3.5	04.01	522.4	5.1	3.44	2.75
control	branch	grow and send out branches or branch-like structures	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	1.0	3.33	4.41	434.4	05.01	3.66	2.37
control	branch	divide into two or more branches so as to form a fork	a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.	https://doi.org/10.1075/ps.16055.sun	0.0	1.0	0.0	3.9	6.2	437.0	4.72	3.99	2.42
control	ride	a journey in a vehicle (usually an automobile)	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	1.0	6.12	0.4	467.33	5.7	3.55	2.84
control	ride	a mechanical device that you ride for amusement or excitement	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	6.5	1.44	549.6	5.37	03.09	3.12
control	ride	sit and travel on the back of animal, usually while controlling its motions	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	1.0	1.0	1.0	2.9	3.93	493.12	5.35	3.88	2.85
control	ride	be carried or travel on or in a vehicle	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	1.0	4.44	1.23	504.33	4.61	3.93	1.76
control	ride	continue undisturbed and without interference	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	0.0	0.0	2.33	0.0	375.75	5.23	2.45	2.68
control	ride	move like a floating object	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	6.0	0.0	495.75	4.42	3.17	2.81
control	ride	harass with persistent criticism or carping	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	0.0	0.0	4.4	0.0	474.0	4.89	2.32	2.75
control	ride	be sustained or supported or borne	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	0.0	1.0	3.0	0.0	513.67	05.07	1.97	2.73
control	ride	have certain properties when driven	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	0.0	0.0	1.75	4.34	337.67	3.69	2.62	03.08
control	ride	be contingent on	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	0.0	0.0	0.0	0.0	569.0	6.15	2.11	2.5
control	ride	lie moored or anchored	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	4.0	0.0	546.33	5.56	3.42	2.4
control	ride	sit on and control a vehicle	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	1.0	3.2	1.85	487.67	4.96	3.79	2.93
control	ride	climb up on the body	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	2.0	0.0	408.0	5.74	4.45	3.96
control	ride	ride over, along, or through	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	2.25		554.0	6.34	2.94	3.35
control	ride	keep partially engaged by slightly depressing a pedal with the foot	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	3.44	2.53	451.0	5.45	2.9	03.02
control	ride	copulate with	to sit on an animal, especially a horse, and control its movements as it moves along	ISSN: 14568438	0.0	1.0	0.0	2.0	4.93	607.0	4.71	3.13	2.8
control	star	(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	1.0	1.0	1.0	4.69	0.68	509.5	5.23	3.41	3.32
control	star	someone who is dazzlingly skilled in any field	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	2.62	01.05	492.75	3.96	03.09	3.59
control	star	any celestial body visible (as a point of light) from the Earth at night	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	1.0	5.36	0.68	474.56	5.37	3.81	3.17
control	star	an actor who plays a principal role	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	6.57	1.98	402.25	5.2	3.36	3.29
control	star	a plane figure with 5 or more points; often used as an emblem	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	4.67	0.75	498.38	4.49	3.56	3.51
control	star	a performer who receives prominent billing	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	5.33	1.63	408.5	5.99	3.15	2.59
control	star	a star-shaped character * used in printing	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	4.83	1.1	452.2	4.67	3.26	3.22
control	star	the topology of a network whose components are connected to a hub	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	5.62	1.83	453.2	5.62	2.79	2.61
control	star	feature as the star	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	4.0	4.79	478.0	6.32	3.82	3.3
control	star	be the star in a performance	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	6.5	0.0	588.5	6.41	3.86	02.06
control	star	mark with an asterisk	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	4.67	6.31	564.5	05.04	4.11	2.5
control	star	indicating the most important performer or role	a very large hot ball of gas that appears as a small bright light in the sky at night	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0		4.33		503.75	5.3	2.79	3.11
control	job	the principal activity in your life that you do to earn money	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	1.0	1.0	1.0	4.14	0.36	472.0	4.71	3.16	3.34
control	job	a specific piece of work required to be done as a duty or for a specific fee	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	1.0	3.93	1.0	501.88	4.43	2.87	3.18
control	job	a workplace; as in the expression	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	7.4	1.86	517.33	5.0	3.51	04.09
control	job	an object worked on; a result produced by working	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	1.0	3.33	1.1	477.0	4.68	3.1	3.48
control	job	the responsibility to do something	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	6.0	0.6	521.5	3.87	1.61	3.3
control	job	the performance of a piece of work	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	7.0	1.25	494.33	4.4	3.55	1.98
control	job	a damaging piece of work	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	4.5	0.3	485.67	4.42	3.81	2.92
control	job	a state of difficulty that needs to be resolved	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	4.0	2.75	484.5	4.54	2.31	03.01
control	job	a Jewish hero in the Old Testament who maintained his faith in God in spite of afflictions that tested him	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	4.73	0.55	539.6	4.35	2.41	03.05
control	job	any long-suffering person who withstands affliction without despairing	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	4.0	0.0	496.5	4.76	2.8	2.77
control	job	(computer science) a program application that may consist of several steps but is a single logical unit	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	05.07	1.9	447.25	4.8	3.18	2.85
control	job	a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	5.77	2.35	512.73	5.1	3.38	3.54
control	job	a crime (especially a robbery)	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	7.8	4.11	450.2	5.96	2.75	4.46
control	job	profit privately from public office and official business	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	1.0	0.0	2.5	0.0	496.33	4.16	03.06	3.48
control	job	arranged for contracted work to be done by others	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	1.33	0.0	506.0	4.65	2.6	1.97
control	job	work occasionally	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	3.0		452.0	4.92	2.78	02.06
control	job	invest at a risk	work that you do regularly to earn money	https://doi.org/10.24197/ersjes.43.2022.207-241	0.0	0.0	0.0	5.0	0.0	291.5	4.16	02.05	3.55
control	radiant	radiating or as if radiating light	a kind of energy produced by hot objects that cannot be seen such as light	http://www.ukm.my/ppbl/Gema/gemahome.html		1.0	1.0	4.8		521.33	5.95	4.21	3.47
control	take	the income or profit arising from such transactions as the sale of land or other property	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	05.08	1.6	451.67	4.72	3.6	03.03
control	take	the act of photographing a scene or part of a scene without interruption	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	7.0	0.76	469.14	4.18	03.08	2.99
control	take	carry out	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	0.5	0.0	509.0	2.62	04.04	2.0
control	take	require (time or space)	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.5	0.0	495.4	5.95	2.89	4.41
control	take	take somebody somewhere	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	1.5		425.33	4.11	2.98	2.79
control	take	get into one's hands, take physically	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	1.0	1.0	1.0	1.0	0.0	482.14	4.75	3.32	3.29
control	take	take on a certain form, attribute, or aspect	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.43	2.71	503.71	4.15	2.4	3.64
control	take	interpret something in a certain way; convey a particular meaning or impression	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	04.09	2.13	481.0	3.69	02.03	3.25
control	take	take something or somebody with oneself somewhere	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	4.0		479.2	04.03	2.85	03.07
control	take	take into one's possession	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	3.0		487.5	5.81	3.33	3.18
control	take	travel or go by means of a certain kind of transportation, or a certain route	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.46	0.0	475.75	4.68	2.86	3.4
control	take	pick out, select, or choose from a number of alternatives	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.0	2.9	539.0	5.6	2.94	3.34
control	take	receive willingly something given or offered	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	3.0	0.0	525.0	04.06	2.22	3.1
control	take	assume, as of positions or roles	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	6.0	0.0	491.75	5.38	2.19	3.18
control	take	take into consideration for exemplifying purposes	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.0		488.5	3.89	2.15	2.0
control	take	require as useful, just, or proper	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	2.83	06.03	503.0	5.51	2.0	3.8
control	take	experience or feel or submit to	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.4	1.37	531.0	5.16	2.25	2.56
control	take	make a film or photograph of something	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	6.0	3.64	413.75	4.67	3.52	04.03
control	take	remove something concrete, as by lifting, pushing, or taking off, or remove something abstract	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	1.0	2.58	4.36	516.85	5.29	2.93	3.57
control	take	serve oneself to, or consume regularly	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	3.25	2.36	530.0	4.95	3.12	2.92
control	take	accept or undergo, often unwillingly	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	2.0	02.05	493.2	5.0	2.39	2.95
control	take	make use of or accept for some purpose	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	2.67	2.45	485.75	4.49	2.5	2.92
control	take	take by force	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	1.0	0.0	549.0	4.54	03.03	3.77
control	take	occupy or take on	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	3.33	0.0	580.5	5.35	3.19	2.82
control	take	admit into a group or community	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.6	3.64	562.67	05.09	3.32	3.34
control	take	ascertain or determine by measuring, computing or take a reading from a dial	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.55	0.0	546.88	4.84	3.19	2.99
control	take	be a student of a certain subject	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.83	0.0	475.67	4.39	3.25	2.43
control	take	take as an undesirable consequence of some event or state of affairs	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.67		482.83	3.93	2.76	2.63
control	take	head into a specified direction	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	6.0	0.0	500.67	5.28	3.77	3.6
control	take	point or cause to go (blows, weapons, or objects such as photographic equipment) towards	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	3.92	1.82	472.92	5.41	3.36	3.35
control	take	be seized or affected in a specified way	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.25	0.0	504.5	4.65	2.13	3.0
control	take	have with oneself; have on one's person	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	3.8	0.0	513.6	5.21	04.06	3.57
control	take	engage for service under a term of contract	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	5.67	7.33	433.0	5.27	2.81	3.52
control	take	receive or obtain regularly	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	2.5	0.0	516.0	4.38	2.5	2.3
control	take	buy, select	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	2.5	0.0	461.33	6.47	2.92	3.95
control	take	to get into a position of having, e.g., safety, comfort	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	3.86	0.0	502.62	5.0	2.56	3.79
control	take	have sex with; archaic use	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	2.25	2.61	571.0	4.35	03.04	4.18
control	take	lay claim to; as of an idea	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	6.6	3.66	519.25	3.73	2.81	3.13
control	take	be designed to hold or take	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.0	0.0	524.33	05.03	3.22	2.24
control	take	be capable of holding or containing	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	2.2	4.71	468.0	5.65	2.96	2.75
control	take	develop a habit	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	4.67	0.0	574.5	4.88	2.32	2.36
control	take	proceed along in a vehicle	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.2	0.0	477.0	4.53	3.11	1.81
control	take	obtain by winning	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	0.33	0.0	539.0	4.78	2.91	2.5
control	take	be stricken by an illness, fall victim to an illness	taking is primarily associated with concrete actions, such as grasping items like books or cups	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	4.44	0.0	426.67	5.97	3.4	3.55
control	channel	a path over which electrical signals can pass	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	3.86	0.2	430.0	3.88	3.9	2.53
control	channel	a passage for water (or other fluids) to flow through	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	1.0	1.0	1.0	3.62	1.1	438.0	5.4	4.31	3.59
control	channel	a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	05.08	0.95	477.67	5.46	3.48	3.24
control	channel	a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	6.12	2.15	497.24	4.82	3.71	03.09
control	channel	(often plural) a means of communication or access	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.14	0.7	492.33	5.63	2.68	3.39
control	channel	a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	1.0	4.93	0.8	539.75	4.38	3.64	3.86
control	channel	a television station and its programs	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	1.0	0.0	7.4	0.78	527.67	3.81	4.19	2.12
control	channel	a way of selling a company's product either directly or via distributors	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.5	0.31	493.12	4.84	2.78	2.96
control	channel	transmit or serve as the medium for transmission	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	1.0	6.17	4.25	508.5	3.12	3.52	3.29
control	channel	direct the flow of	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	1.0	3.5	7.11	508.5	4.81	2.94	2.8
control	channel	send from one person or place to another	carrying water through a passage	http://dx.doi.org/10.15823/zz.2016.19	0.0	0.0	0.0	5.83	6.33	495.4	5.81	3.51	2.44
control	virus	(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein	Any of the various submicroscopic agents that infect living organisms, often causing disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552	1.0	1.0	1.0	4.2	0.72	509.92	4.52	3.43	3.45
control	virus	a harmful or corrupting agency	Any of the various submicroscopic agents that infect living organisms, often causing disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552	0.0	0.0	0.0	4.6	0.2	426.33	5.48	2.76	3.0
control	virus	a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer	Any of the various submicroscopic agents that infect living organisms, often causing disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552	0.0	1.0	0.0	4.0	1.5	495.58	5.47	2.97	2.64
control	scan	the act of scanning; systematic examination of a prescribed region	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	1.0	5.57	2.34	477.14	4.36	2.94	3.79
control	scan	an image produced by scanning	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	0.0	5.2	2.72	513.0	3.85	3.21	3.43
control	scan	examine minutely or intensely	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	1.0	1.0	1.0	2.75	0.0	445.33	3.97	2.22	3.34
control	scan	examine hastily	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	1.0	1.0	0.0	428.0	3.21	2.58	3.0
control	scan	make a wide, sweeping search of	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	1.0	1.0	1.0	3.4	2.43	520.0	05.02	03.01	3.17
control	scan	conform to a metrical pattern	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	0.0	2.5	0.0	340.33	5.93	2.77	2.18
control	scan	move a light beam over; in electronics, to reproduce an image	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	1.0	4.8	01.04	534.5	4.7	3.85	3.36
control	scan	read metrically	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	0.0	4.5		530.5	3.7	2.96	03.01
control	scan	obtain data from magnetic tapes	to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553	0.0	1.0	0.0	3.75	0.0	445.67	4.42	3.44	2.88
control	remove	degree of figurative distance or separation;  or	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	0.0	0.0	5.33	0.3	573.6	4.1	2.63	3.47
control	remove	remove something concrete, as by lifting, pushing, or taking off, or remove something abstract	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	1.0	0.0	1.0	3.1	3.64	516.85	5.29	2.93	3.57
control	remove	remove from a position or an office	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	0.0	0.0	6.6		522.33	4.13	3.56	2.46
control	remove	dispose of	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	0.0	1.0	4.0	0.0	559.0	5.3	3.59	2.9
control	remove	cause to leave	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	0.0	0.0	2.0	0.0	443.0	4.78	2.48	1.74
