Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,take,the act of photographing a scene or part of a scene without interruption,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,7,0.76,469.14,4.18,3.08,2.99,0.1015072241,0.1018044933
control,take,carry out,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,0.5,0,509,2.62,4.04,2,0.4989806414,0.4810795188
control,take,require (time or space),"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.5,0,495.4,5.95,2.89,4.41,0.1678125771,0.2116001323
control,take,take somebody somewhere,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,1.5,,425.33,4.11,2.98,2.79,0.1013533883,0.1833057925
control,take,"get into one's hands, take physically","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,1,1,1,1,0,482.14,4.75,3.32,3.29,0.2458947701,0.2490040101
control,take,"take on a certain form, attribute, or aspect","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.43,2.71,503.71,4.15,2.4,3.64,0.1037163567,0.09797062539
control,take,interpret something in a certain way; convey a particular meaning or impression,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.09,2.13,481,3.69,2.03,3.25,0.1308038449,0.1426301738
control,take,take something or somebody with oneself somewhere,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,4,,479.2,4.03,2.85,3.07,0.1140751913,0.1512391116
control,take,take into one's possession,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,3,,487.5,5.81,3.33,3.18,0.1962390766,0.1570048891
control,take,"travel or go by means of a certain kind of transportation, or a certain route","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.46,0,475.75,4.68,2.86,3.4,0.1590550682,0.2002059175
control,take,"pick out, select, or choose from a number of alternatives","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4,2.9,539,5.6,2.94,3.34,0.189993979,0.2082569689
control,take,receive willingly something given or offered,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,3,0,525,4.06,2.22,3.1,0.2582272202,0.2662344962
control,take,"assume, as of positions or roles","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,6,0,491.75,5.38,2.19,3.18,0.2362735445,0.2102536634
control,take,take into consideration for exemplifying purposes,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4,,488.5,3.89,2.15,2,0.05574122941,0.02991920865
control,take,"require as useful, just, or proper","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.83,6.03,503,5.51,2,3.8,0.1830729072,0.2298914542
control,take,experience or feel or submit to,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.4,1.37,531,5.16,2.25,2.56,0.2452117403,0.2450571333
control,take,make a film or photograph of something,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,6,3.64,413.75,4.67,3.52,4.03,0.2089166678,0.1601250223
control,take,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,2.58,4.36,516.85,5.29,2.93,3.57,0.1979578077,0.2351685547
control,take,"serve oneself to, or consume regularly","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,3.25,2.36,530,4.95,3.12,2.92,0.193961177,0.140943577
control,take,"accept or undergo, often unwillingly","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2,2.05,493.2,5,2.39,2.95,0.2297640294,0.2084138757
control,take,make use of or accept for some purpose,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.67,2.45,485.75,4.49,2.5,2.92,0.2985731745,0.2669167677
control,take,take by force,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,1,0,549,4.54,3.03,3.77,0.0455961749,0.09854532033
control,take,occupy or take on,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,3.33,0,580.5,5.35,3.19,2.82,0.3619661927,0.31992957
control,take,admit into a group or community,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.6,3.64,562.67,5.09,3.32,3.34,0.1054552446,0.150713635
control,take,"ascertain or determine by measuring, computing or take a reading from a dial","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.55,0,546.88,4.84,3.19,2.99,0.09356744122,0.08358178936
control,take,be a student of a certain subject,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.83,0,475.67,4.39,3.25,2.43,0.07254573454,0.07730154383
control,take,take as an undesirable consequence of some event or state of affairs,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.67,,482.83,3.93,2.76,2.63,0.02110470254,0.07827956825
control,take,head into a specified direction,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,6,0,500.67,5.28,3.77,3.6,0.06102739461,0.1005030697
control,take,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,3.92,1.82,472.92,5.41,3.36,3.35,0.1194908611,0.1368033878
control,take,be seized or affected in a specified way,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.25,0,504.5,4.65,2.13,3,0.08099150145,0.1402256284
control,take,have with oneself; have on one's person,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,1,3.8,0,513.6,5.21,4.06,3.57,0.1220652089,0.1155387505
control,take,engage for service under a term of contract,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.67,7.33,433,5.27,2.81,3.52,0.1007293712,0.1382128811
control,take,receive or obtain regularly,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.5,0,516,4.38,2.5,2.3,0.3128249372,0.1980099306
control,take,"buy, select","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.5,0,461.33,6.47,2.92,3.95,0.2676197067,0.2613347694
control,take,"to get into a position of having, e.g., safety, comfort","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,3.86,0,502.62,5,2.56,3.79,0.198279202,0.1937393956
control,take,have sex with; archaic use,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.25,2.61,571,4.35,3.04,4.18,0.1060530413,0.1118904377
control,take,lay claim to; as of an idea,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,6.6,3.66,519.25,3.73,2.81,3.13,0.190271837,0.1829025795
control,take,be designed to hold or take,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4,0,524.33,5.03,3.22,2.24,0.2266739579,0.2405024157
control,take,be capable of holding or containing,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,2.2,4.71,468,5.65,2.96,2.75,0.1125378646,0.1410459802
control,take,develop a habit,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.67,0,574.5,4.88,2.32,2.36,0.1185026588,0.1287030745
control,take,proceed along in a vehicle,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.2,0,477,4.53,3.11,1.81,0.1871456114,0.1646343408
control,take,obtain by winning,"taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,0.33,0,539,4.78,2.91,2.5,0.241328124,0.1992378831
control,take,"be stricken by an illness, fall victim to an illness","taking is primarily associated with concrete actions, such as grasping items like books or cups",http://dx.doi.org/10.15823/zz.2016.19,0,0,0,4.44,0,426.67,5.97,3.4,3.55,0.02833953854,0.08238898031
control,channel,a path over which electrical signals can pass,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,0,3.86,0.2,430,3.88,3.9,2.53,0.194293852,0.1313568591
control,channel,a passage for water (or other fluids) to flow through,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,1,0,1,3.62,1.1,438,5.4,4.31,3.59,0.1876141429,0.1183352657
control,channel,a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record),carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,1,1,5.08,0.95,477.67,5.46,3.48,3.24,0.0942435616,0.08477397504
control,channel,a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,1,1,6.12,2.15,497.24,4.82,3.71,3.09,0.1441182301,0.1314863375
control,channel,(often plural) a means of communication or access,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.14,0.7,492.33,5.63,2.68,3.39,0.06844907384,0.08600886203
control,channel,a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,1,4.93,0.8,539.75,4.38,3.64,3.86,0.1015576404,0.08547199869
control,channel,a television station and its programs,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,0,7.4,0.78,527.67,3.81,4.19,2.12,0.3884609242,0.3420012544
control,channel,a way of selling a company's product either directly or via distributors,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,0,5.5,0.31,493.12,4.84,2.78,2.96,0.1265057819,0.1680695661
control,channel,transmit or serve as the medium for transmission,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,1,1,6.17,4.25,508.5,3.12,3.52,3.29,0.2183499271,0.1369236256
control,channel,direct the flow of,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,0,1,3.5,7.11,508.5,4.81,2.94,2.8,0.2454182506,0.2394076362
control,channel,send from one person or place to another,carrying water through a passage,http://dx.doi.org/10.15823/zz.2016.19,0,1,0,5.83,6.33,495.4,5.81,3.51,2.44,0.03785862848,0.04741989449
control,virus,(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein,"Any of the various submicroscopic agents that infect living organisms, often causing disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552,1,1,1,4.2,0.72,509.92,4.52,3.43,3.45,0.1825472885,0.1796724987
control,virus,a harmful or corrupting agency,"Any of the various submicroscopic agents that infect living organisms, often causing disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552,0,0,0,4.6,0.2,426.33,5.48,2.76,3,0.09535140606,0.1420505097
control,virus,a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer,"Any of the various submicroscopic agents that infect living organisms, often causing disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1552,0,0,0,4,1.5,495.58,5.47,2.97,2.64,0.1307823451,0.1390019568
control,scan,the act of scanning; systematic examination of a prescribed region,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,1,1,5.57,2.34,477.14,4.36,2.94,3.79,0.2364034538,0.2198528078
control,scan,an image produced by scanning,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,0,5.2,2.72,513,3.85,3.21,3.43,0.3749998702,0.3243471893
control,scan,examine minutely or intensely,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,1,1,1,2.75,0,445.33,3.97,2.22,3.34,0.1967611794,0.1668231462
control,scan,examine hastily,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,1,1,0,428,3.21,2.58,3,0.2470231671,0.1457658564
control,scan,"make a wide, sweeping search of","to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,1,0,1,3.4,2.43,520,5.02,3.01,3.17,0.2174892817,0.1790629197
control,scan,conform to a metrical pattern,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,0,2.5,0,340.33,5.93,2.77,2.18,0.06336779706,0.0901940167
control,scan,"move a light beam over; in electronics, to reproduce an image","to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,1,4.8,1.04,534.5,4.7,3.85,3.36,0.1475243403,0.1743420785
control,scan,read metrically,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,0,4.5,,530.5,3.7,2.96,3.01,0.1539793783,0.1375107635
control,scan,obtain data from magnetic tapes,"to read something very quickly, in order to get a general idea of its meaning or to find particular information, to look at something very carefully, because you hope or expect to see a particular person or thing",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1553,0,0,0,3.75,0,445.67,4.42,3.44,2.88,0.1473082248,0.1762883551
control,remove,degree of figurative distance or separation;  or,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,5.33,0.3,573.6,4.1,2.63,3.47,0.066565983,0.1225396674
control,remove,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,1,1,1,3.1,3.64,516.85,5.29,2.93,3.57,0.09959192947,0.1225227583
control,remove,remove from a position or an office,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,6.6,,522.33,4.13,3.56,2.46,0.03051843983,0.05552558042
control,remove,dispose of,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,1,4,0,559,5.3,3.59,2.9,0.5199635029,0.449457407
control,remove,cause to leave,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,2,0,443,4.78,2.48,1.74,0.2311730236,0.2625249252
control,remove,"shift the position or location of, as for business, legal, educational, or military purposes",to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,5,,507.92,5.02,2.64,3.43,0.03947040334,0.07962227869
control,remove,go away or leave,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,2.25,0,290,3.99,2.64,2.4,0.3086296767,0.23915304
control,remove,kill intentionally and with premeditation,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,4,0,476,4.09,2.76,2.28,0.06762582079,0.1632621586
control,remove,get rid of something abstract,to take something or someone away from a place,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555,0,0,0,0.67,0,499,3.49,1.94,3.54,0.2606386431,0.2219609297
control,code,a set of rules or principles or laws (especially written ones),"a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556,1,0,1,6.2,0.26,475.38,5.15,2.97,3.41,0.1836044046,0.1743508714
control,code,a coding system used for transmitting messages requiring brevity or secrecy,"a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556,1,1,1,4.7,0.73,407,4.32,2.8,3.05,0.2336349739,0.2266975241
control,code,(computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions,"a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556,0,0,1,5.53,1.65,399.3,5.05,3.48,3.35,0.180895935,0.1486031331
control,code,attach a code to,"a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556,0,0,1,4,0,566.5,3.75,3.16,3.84,0.01017126348,0.07981091738
control,code,convert ordinary language into code,"a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556,0,1,1,6,0,531.5,5.21,2.47,3.58,0.09970394336,0.1236867843
control,infected,communicate a disease to,"someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558,1,0,1,6,0,432,5.16,3.44,4,0.2859386317,0.3302743509
control,infected,contaminate with a disease or microorganism,"someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558,1,1,1,6.8,11.53,500.33,5.04,3.42,3.77,0.4382900894,0.3503493766
control,infected,corrupt with ideas or an ideology,"someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558,0,0,0,6.6,10.78,523.33,3.86,1.75,2.11,0.06694363151,0.07986972605
control,infected,affect in a contagious way,"someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558,0,0,0,5,0,360.67,4.08,2.33,2.91,0.2511116515,0.2040360893
control,infected,containing or resulting from disease-causing organisms,"someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558,1,1,1,3.75,,511.25,5.62,3.14,2.69,0.1566982611,0.1793865201
control,file,a set of related records (either written or electronic) kept together,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,1,1,1,2.5,0.87,516.2,5,3.1,3.19,0.1186582232,0.1039103509
control,file,a line of persons or things ranged one behind the other,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,,0,4.22,2.41,438.83,4.83,3.7,3.86,0.04045785638,0.03084855558
control,file,office furniture consisting of a container for keeping papers in order,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,1,0,5.56,1.97,474.71,5.22,4.1,3.4,0.1224150102,0.1131346508
control,file,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,1,0,4.56,1.84,519.17,4.1,4.18,2.71,0.0300578369,0.01902953226
control,file,record in a public office or in a court of law,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,0,1,6.6,,485.6,4.55,3.71,2.39,0.218137458,0.1541399553
control,file,smooth with a file,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,1,0,5,,512.5,5.21,4.11,2.32,0.0428731367,0.02686389163
control,file,proceed in line,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,0,0,3,1.85,503,3.26,3.52,4,0.110788241,0.1795195304
control,file,file a formal charge against,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,0,0,6.67,8.73,525.67,4.97,3.36,2.61,0.1279117651,0.217278637
control,file,place in a container for keeping records,"a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession",https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560,0,1,1,5.83,2.88,492.75,5.3,3.67,2.21,0.1543357228,0.07753601694
control,reconstruct,reassemble mentally,to build something again,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562,0,0,0,1,0,522.5,6.47,2.43,2.57,0.31478291,0.2950930595
control,reconstruct,build again,to build something again,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562,1,0,1,0.5,2.94,578,6.46,3.71,3.82,0.5051093698,0.4334930182
control,reconstruct,cause somebody to adapt or reform socially or politically,to build something again,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562,0,0,0,3,0.97,477,4.88,2.4,2.52,0.1191940069,0.1112021916
control,reconstruct,return to its original or usable and functioning condition,to build something again,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562,0,1,0,4.57,0,481.8,5.62,2.3,2.86,0.1690571889,0.1868905336
control,reconstruct,"do over, as of (part of) a house",to build something again,https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562,0,0,1,5,0,361.4,5.84,4.14,3.77,0.0772335995,0.1410298012
control,harvest,the yield from plants in a single growing season,process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,1,5.86,0.48,532.6,5,3.43,2.8,0.2400510751,0.1952172101
control,harvest,the consequence of an effort or activity,process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,7,0.98,477,4.54,2.56,4.03,0.07521521424,0.105730628
control,harvest,the gathering of a ripened crop,process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,1,6,3.58,542.33,4.38,3.82,2.55,0.4583419164,0.4256032507
control,harvest,the season for gathering crops,process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,0,5,4.25,514.33,4.58,3.65,3.28,0.453601708,0.3757876456
control,harvest,"gather, as of natural products",process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,1,5.5,,474.25,5.93,2.92,3.58,0.1871910548,0.1615388542
control,harvest,"remove from a culture or a living or dead body, as for the purposes of transplantation",process of period of gathering in crops.,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,6.42,0,458.88,5.11,3.15,2.52,0.06766274811,0.1080983587
control,planting,the act of fixing firmly in place,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,3.6,1.46,535.25,4.77,2.79,3.24,0.09290873018,0.1193798371
control,planting,a collection of plants (trees or shrubs or flowers) in a particular area,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,1,1,6.33,0.33,493.43,4.99,3.95,3.88,0.248792771,0.2659015006
control,planting,putting seeds or young plants in the ground to grow,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,1,1,3.12,0,522.5,4.72,4.09,3.58,0.3377793804,0.2393007254
control,planting,"put or set (seeds, seedlings, or plants) into the ground",putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,1,4.5,5.8,517.67,5.6,4.03,3.88,0.3683900634,0.268235676
control,planting,fix or set securely or deeply,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,3.67,0,558.25,3.79,2.8,3.03,0.04901716998,0.07643401208
control,planting,set up or lay the groundwork for,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,4.8,3.25,528.67,5.13,3.36,2.48,0.177222381,0.1521627828
control,planting,place into a river,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,5.33,0,497.5,5.56,4.18,3.37,0.05282676453,0.1065283716
control,planting,place something or someone in a certain position in order to secretly observe or deceive,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,4.23,2.27,510.89,4.58,2.49,3.48,0.02982000207,0.09582562082
control,planting,put firmly in the mind,putting a seed or plant in the ground so that it can grow,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,4,0,502,4.57,2.44,3.32,0.07832707899,0.1115430271
control,elude,"escape, either physically or mentally",escape from or avoid,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,1,1,1,2,0,512.4,4.99,2.39,2.95,0.1545207825,0.1834882824
control,elude,be incomprehensible to; escape understanding by,escape from or avoid,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,0.6,4.63,568,2.78,2.2,3.65,0.277788305,0.2390877226
control,elude,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",escape from or avoid,http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483,0,0,0,4.58,0,482,5.27,2.49,3.69,0.1754515744,0.1365704245
control,pain,a symptom of some physical hurt or disorder,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,1,1,1,4.71,1.72,508.75,5.31,3.3,2.58,0.3189149685,0.2956526689
control,pain,emotional distress; a fundamental feeling that people try to avoid,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,0,0,1,3.75,1.44,468.62,5.03,2.48,3.42,0.1836992099,0.1977113681
control,pain,a somatic sensation of acute discomfort,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,0,0,1,7,0.6,468.5,3.58,2.36,2.34,0.3953011967,0.3669692948
