,word,sentence,word_sense,label,definitions,M-T,defs_means,ds_means,phy,img,conc,nb17,prec,IC,phy_ds,img_ds,conc_ds,nb17_ds,prec_ds,IC_ds
198,cost,Pursuing legal action would have cost them money they did n't have ( unless it meant selling their house which was not an option ) but doing nothing left them with the feeling that justice was n't being done .,the total spent for goods or services including money and time and labor,0.0,the property of having material worth,1.0,"{'physicality': 1.7183614207102895, 'imageability': 3.5327803652215173, 'concreteness': 2.7977379209911213, 'nb17': 0.13849302, 'precision': 3.0, 'precision_IC': 0.0}","{'physicality': 1.9456599378572292, 'imageability': 3.8796000204800474, 'concreteness': 2.752242695126436, 'nb17': 0.16460241, 'precision': 4.444444444444445, 'precision_IC': 0.476983366318218}",1.7183614207102895,3.5327803652215173,2.7977379209911213,0.13849302,3.0,0.0,1.9456599378572288,3.879600020480048,2.752242695126436,0.16460241,4.444444444444445,0.476983366318218
199,cost,Pursuing legal action would have cost them money they did n't have ( unless it meant selling their house which was not an option ) but doing nothing left them with the feeling that justice was n't being done .,the total spent for goods or services including money and time and labor,0.0,value measured by what must be given or done or undergone to obt...,0.0,"{'physicality': 1.6083168457076098, 'imageability': 3.1835990971638624, 'concreteness': 2.298626777079753, 'nb17': 0.13389383, 'precision': 3.6, 'precision_IC': 0.7661621382989364}","{'physicality': 1.9456599378572292, 'imageability': 3.8796000204800474, 'concreteness': 2.752242695126436, 'nb17': 0.16460241, 'precision': 4.444444444444445, 'precision_IC': 0.476983366318218}",1.6083168457076098,3.1835990971638624,2.298626777079753,0.13389383,3.6,0.7661621382989364,1.9456599378572288,3.879600020480048,2.752242695126436,0.16460241,4.444444444444445,0.476983366318218
200,cost,Pursuing legal action would have cost them money they did n't have ( unless it meant selling their house which was not an option ) but doing nothing left them with the feeling that justice was n't being done .,the total spent for goods or services including money and time and labor,0.0,be priced at,1.0,"{'physicality': 1.7478454127954912, 'imageability': 3.6625653486543492, 'concreteness': 2.5455436682683144, 'nb17': 0.30160287, 'precision': 3.3333333333333335, 'precision_IC': 2.086170431081118}","{'physicality': 1.9456599378572292, 'imageability': 3.8796000204800474, 'concreteness': 2.752242695126436, 'nb17': 0.16460241, 'precision': 4.444444444444445, 'precision_IC': 0.476983366318218}",1.7478454127954912,3.662565348654349,2.5455436682683144,0.30160287,3.333333333333333,2.086170431081118,1.9456599378572288,3.879600020480048,2.752242695126436,0.16460241,4.444444444444445,0.476983366318218
201,cost,Pursuing legal action would have cost them money they did n't have ( unless it meant selling their house which was not an option ) but doing nothing left them with the feeling that justice was n't being done .,the total spent for goods or services including money and time and labor,0.0,"require to lose, suffer, or sacrifice",0.0,"{'physicality': 1.938250586768829, 'imageability': 3.374752880744019, 'concreteness': 2.317030975000789, 'nb17': 0.15548015, 'precision': 4.4, 'precision_IC': 2.008514838411626}","{'physicality': 1.9456599378572292, 'imageability': 3.8796000204800474, 'concreteness': 2.752242695126436, 'nb17': 0.16460241, 'precision': 4.444444444444445, 'precision_IC': 0.476983366318218}",1.938250586768829,3.374752880744019,2.317030975000789,0.15548015,4.4,2.008514838411626,1.9456599378572288,3.879600020480048,2.752242695126436,0.16460241,4.444444444444445,0.476983366318218
222,flower,"Keep away from jasmine , already thick in flower bud , and clematis , however untidy .",a plant cultivated for its blooms or blossoms,0.0,a plant cultivated for its blooms or blossoms,1.0,"{'physicality': 2.1245297989207295, 'imageability': 4.301844724497602, 'concreteness': 3.128418048968472, 'nb17': 0.27114668, 'precision': 5.571428571428571, 'precision_IC': 0.5833982145433962}","{'physicality': 2.1245297989207295, 'imageability': 4.301844724497602, 'concreteness': 3.128418048968472, 'nb17': 0.27114668, 'precision': 5.571428571428571, 'precision_IC': 0.5833982145433962}",2.124529798920729,4.301844724497602,3.128418048968472,0.27114668,5.571428571428571,0.5833982145433962,2.124529798920729,4.301844724497602,3.128418048968472,0.27114668,5.571428571428571,0.5833982145433962
223,flower,"Keep away from jasmine , already thick in flower bud , and clematis , however untidy .",a plant cultivated for its blooms or blossoms,0.0,reproductive organ of angiosperm plants especially one having sh...,1.0,"{'physicality': 2.3274271816592655, 'imageability': 4.19412281043814, 'concreteness': 3.1589488509261567, 'nb17': 0.18455935, 'precision': 3.857142857142857, 'precision_IC': 1.5318337432196856}","{'physicality': 2.1245297989207295, 'imageability': 4.301844724497602, 'concreteness': 3.128418048968472, 'nb17': 0.27114668, 'precision': 5.571428571428571, 'precision_IC': 0.5833982145433962}",2.327427181659265,4.19412281043814,3.1589488509261567,0.18455935,3.857142857142857,1.5318337432196856,2.124529798920729,4.301844724497602,3.128418048968472,0.27114668,5.571428571428571,0.5833982145433962
224,flower,"Keep away from jasmine , already thick in flower bud , and clematis , however untidy .",a plant cultivated for its blooms or blossoms,0.0,the period of greatest prosperity or productivity,0.0,"{'physicality': 1.9862024545100778, 'imageability': 3.460350061919184, 'concreteness': 2.4656159981923453, 'nb17': 0.044668857, 'precision': 5.8, 'precision_IC': 0.44717190592332945}","{'physicality': 2.1245297989207295, 'imageability': 4.301844724497602, 'concreteness': 3.128418048968472, 'nb17': 0.27114668, 'precision': 5.571428571428571, 'precision_IC': 0.5833982145433962}",1.9862024545100776,3.460350061919184,2.4656159981923453,0.044668857,5.8,0.4471719059233294,2.124529798920729,4.301844724497602,3.128418048968472,0.27114668,5.571428571428571,0.5833982145433962
225,flower,"Keep away from jasmine , already thick in flower bud , and clematis , however untidy .",a plant cultivated for its blooms or blossoms,0.0,produce or yield flowers,1.0,"{'physicality': 2.6320838864920777, 'imageability': 4.464698433950385, 'concreteness': 3.2848796773901854, 'nb17': 0.26046062, 'precision': 3.75, 'precision_IC': 3.2655943322686873}","{'physicality': 2.1245297989207295, 'imageability': 4.301844724497602, 'concreteness': 3.128418048968472, 'nb17': 0.27114668, 'precision': 5.571428571428571, 'precision_IC': 0.5833982145433962}",2.6320838864920777,4.464698433950385,3.2848796773901854,0.26046062,3.75,3.265594332268688,2.124529798920729,4.301844724497602,3.128418048968472,0.27114668,5.571428571428571,0.5833982145433962
238,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,exchange or deliver for money or its equivalent,1.0,"{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
239,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,be sold at a certain price or in a certain way,1.0,"{'physicality': 1.6916078465775433, 'imageability': 3.4774921663172544, 'concreteness': 2.518433540439097, 'nb17': 0.17606473, 'precision': 4.4, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.6916078465775433,3.4774921663172544,2.518433540439097,0.17606473,4.4,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
240,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,persuade somebody to accept something,0.0,"{'physicality': 2.056314445871796, 'imageability': 3.4978074441153355, 'concreteness': 2.4953333667190436, 'nb17': 0.020558482, 'precision': 1.3333333333333333, 'precision_IC': 3.3367557563251613}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",2.056314445871796,3.4978074441153355,2.495333366719044,0.020558482,1.3333333333333333,3.3367557563251613,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
241,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,do business; offer for sale as for one's livelihood,1.0,"{'physicality': 1.681288017413065, 'imageability': 3.5086988936832277, 'concreteness': 2.5272575451398915, 'nb17': 0.1794119, 'precision': 4.0, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.681288017413065,3.508698893683228,2.5272575451398915,0.1794119,4.0,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
242,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,give up for a price or reward,0.0,"{'physicality': 1.6699948685487431, 'imageability': 3.5755664058795356, 'concreteness': 2.6806849518147624, 'nb17': 0.13475518, 'precision': 5.333333333333333, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.6699948685487431,3.575566405879536,2.6806849518147624,0.13475518,5.333333333333333,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
243,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,be approved of or gain acceptance,0.0,"{'physicality': 1.8145097463233615, 'imageability': 3.3377493881188585, 'concreteness': 2.3462033704104885, 'nb17': 0.118843764, 'precision': 5.0, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.8145097463233613,3.3377493881188585,2.3462033704104885,0.118843764,5.0,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
244,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,be responsible for the sale of,1.0,"{'physicality': 1.5171455629074841, 'imageability': 3.4635924495952586, 'concreteness': 2.5318349671525584, 'nb17': 0.19684942, 'precision': 2.0, 'precision_IC': 2.554116573022308}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.517145562907484,3.4635924495952586,2.5318349671525584,0.19684942,2.0,2.554116573022308,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
245,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,deliver to an enemy by treachery,0.0,"{'physicality': 2.107920945690582, 'imageability': 3.758267460311553, 'concreteness': 2.673500494579558, 'nb17': 0.0648495, 'precision': 4.8, 'precision_IC': 0.0}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",2.107920945690582,3.758267460311553,2.673500494579558,0.0648495,4.8,0.0,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
246,sold,"Not all problems have gone away of course : yesterday 's £6.4 billion public sector borrowing requirement is not much higher than expectations , but it is almost as large as the deficit for the previous 11 months and — with this year 's deficit forecast to be double last year 's — shows why the Bank of England so eagerly sold £2 billion or more of gilts on election night and why it needs a regular stream of massive sales .",exchange or deliver for money or its equivalent,1.0,disposed of to a purchaser,1.0,"{'physicality': 1.4536783823936292, 'imageability': 3.2207321638253914, 'concreteness': 2.5646277416869823, 'nb17': 0.18974571, 'precision': 5.333333333333333}","{'physicality': 1.8540959046670658, 'imageability': 3.8240247123445545, 'concreteness': 2.7063121008509, 'nb17': 0.11897074, 'precision': 7.571428571428571, 'precision_IC': 0.0}",1.4536783823936292,3.2207321638253914,2.5646277416869823,0.18974571,5.333333333333333,,1.8540959046670655,3.8240247123445545,2.7063121008509,0.11897074,7.571428571428571,0.0
247,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,the basis on which something is grounded,0.0,"{'physicality': 1.566523612651021, 'imageability': 3.354340909916534, 'concreteness': 2.499973787427291, 'nb17': 0.1785014, 'precision': 5.0, 'precision_IC': 0.5962292078977726}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.566523612651021,3.354340909916534,2.499973787427291,0.1785014,5.0,0.5962292078977726,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
248,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,an institution supported by an endowment,0.0,"{'physicality': 1.913576820516927, 'imageability': 3.7056258348602733, 'concreteness': 2.7026303042836077, 'nb17': 0.22749539, 'precision': 4.666666666666667, 'precision_IC': 0.5962292078977726}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.913576820516927,3.705625834860273,2.702630304283608,0.22749539,4.666666666666667,0.5962292078977726,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
249,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,lowest support of a structure,1.0,"{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
250,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,education or instruction in the fundamentals of a field of knowl...,0.0,"{'physicality': 1.825597598720097, 'imageability': 3.755395016182656, 'concreteness': 2.782610949253848, 'nb17': 0.11474292, 'precision': 7.428571428571429, 'precision_IC': 1.1704148329112087}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.825597598720097,3.755395016182656,2.782610949253848,0.11474292,7.428571428571429,1.1704148329112087,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
251,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,the fundamental assumptions from which something is begun or dev...,0.0,"{'physicality': 1.6972994968102142, 'imageability': 3.137025973500957, 'concreteness': 2.330222559774649, 'nb17': 0.12895133, 'precision': 3.4, 'precision_IC': 0.2981146039488863}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.6972994968102142,3.137025973500957,2.330222559774649,0.12895133,3.4,0.2981146039488863,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
252,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,a woman's undergarment worn to give shape to the contours of the...,0.0,"{'physicality': 1.8183366879283838, 'imageability': 3.857263723943518, 'concreteness': 3.018869969574695, 'nb17': 0.047812656, 'precision': 4.285714285714286, 'precision_IC': 3.767341515314257}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.818336687928384,3.857263723943518,3.018869969574695,0.047812656,4.285714285714286,3.767341515314257,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
253,foundation,"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .",lowest support of a structure,0.0,the act of starting something for the first time; introducing so...,0.0,"{'physicality': 1.6797759659430198, 'imageability': 3.258436472822039, 'concreteness': 2.5762883126766427, 'nb17': 0.09733566, 'precision': 3.6666666666666665, 'precision_IC': 1.4642334814909423}","{'physicality': 1.7099908600038947, 'imageability': 3.478369529619587, 'concreteness': 2.88858683269585, 'nb17': 0.1504491, 'precision': 5.25, 'precision_IC': 4.216087220934493}",1.6797759659430198,3.258436472822039,2.5762883126766427,0.09733566,3.6666666666666665,1.4642334814909423,1.7099908600038949,3.478369529619587,2.88858683269585,0.1504491,5.25,4.216087220934493
289,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,be in accord; be in agreement,1.0,"{'physicality': 1.6577879986024062, 'imageability': 3.4817372840344207, 'concreteness': 2.4415165477299494, 'nb17': 0.15401351, 'precision': 4.166666666666667, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",1.6577879986024062,3.4817372840344207,2.4415165477299494,0.15401351,4.166666666666667,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
290,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,"consent or assent to a condition, or agree to do something",1.0,"{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
291,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,"be compatible, similar or consistent; coincide in their characte...",0.0,"{'physicality': 1.7951589317756973, 'imageability': 3.4870635646603083, 'concreteness': 2.4320813601607854, 'nb17': 0.114833094, 'precision': 2.4285714285714284, 'precision_IC': 4.695034346223904}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",1.7951589317756973,3.4870635646603083,2.4320813601607854,0.114833094,2.4285714285714284,4.695034346223904,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
292,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,go together,0.0,"{'physicality': 2.260523236753068, 'imageability': 4.2609003370696, 'concreteness': 2.8759732167352525, 'nb17': 0.17265368, 'precision': 1.0, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",2.260523236753068,4.2609003370696,2.8759732167352525,0.17265368,1.0,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
293,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,show grammatical agreement,0.0,"{'physicality': 2.3273632851765758, 'imageability': 3.6420014523536395, 'concreteness': 2.759574674991949, 'nb17': 0.20702583, 'precision': 2.6666666666666665, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",2.327363285176576,3.64200145235364,2.759574674991949,0.20702583,2.6666666666666665,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
294,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,be agreeable or suitable,0.0,"{'physicality': 1.9614947039392856, 'imageability': 3.3883167117785895, 'concreteness': 2.1839061773020476, 'nb17': 0.1741882, 'precision': 2.25, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",1.9614947039392856,3.388316711778589,2.183906177302048,0.1741882,2.25,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
295,agree,"This leaves the Energy Secretary , Mr John Wakeham , with two options : he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation , or he can swallow his pride , and pull all nuclear plant out of the impending sale .","consent or assent to a condition, or agree to do something",0.0,"achieve harmony of opinion, feeling, or purpose",1.0,"{'physicality': 2.044458958482834, 'imageability': 3.2055669601119066, 'concreteness': 2.2663274205254114, 'nb17': 0.07535752, 'precision': 5.666666666666667, 'precision_IC': 0.0}","{'physicality': 1.7650567850255374, 'imageability': 3.4381817737229965, 'concreteness': 2.4701053674543236, 'nb17': 0.2712027, 'precision': 6.285714285714286, 'precision_IC': 0.0}",2.044458958482834,3.2055669601119066,2.266327420525412,0.07535752,5.666666666666667,0.0,1.7650567850255374,3.4381817737229965,2.470105367454324,0.2712027,6.285714285714286,0.0
317,fuel,"These pipes stretching thinly in a bridge across the service road injected a mix of chemicals into the walls of the furnace itself ; did I know that fuel was only used in the start-up process , after which the chemicals themselves provided the fire ?",a substance that can be consumed to produce energy,0.0,a substance that can be consumed to produce energy,1.0,"{'physicality': 2.121586374000996, 'imageability': 3.635671886185722, 'concreteness': 2.7206997627118326, 'nb17': 0.105468124, 'precision': 3.2857142857142856, 'precision_IC': 0.2672530383179665}","{'physicality': 2.121586374000996, 'imageability': 3.635671886185722, 'concreteness': 2.7206997627118326, 'nb17': 0.105468124, 'precision': 3.2857142857142856, 'precision_IC': 0.2672530383179665}",2.121586374000996,3.635671886185722,2.720699762711833,0.105468124,3.2857142857142856,0.2672530383179665,2.121586374000996,3.635671886185722,2.720699762711833,0.105468124,3.2857142857142856,0.2672530383179665
318,fuel,"These pipes stretching thinly in a bridge across the service road injected a mix of chemicals into the walls of the furnace itself ; did I know that fuel was only used in the start-up process , after which the chemicals themselves provided the fire ?",a substance that can be consumed to produce energy,0.0,provide with a combustible substance that provides energy,1.0,"{'physicality': 2.150217026758895, 'imageability': 3.6091087297558406, 'concreteness': 2.791770359537703, 'nb17': 0.15923111, 'precision': 5.333333333333333, 'precision_IC': 5.163697276906054}","{'physicality': 2.121586374000996, 'imageability': 3.635671886185722, 'concreteness': 2.7206997627118326, 'nb17': 0.105468124, 'precision': 3.2857142857142856, 'precision_IC': 0.2672530383179665}",2.150217026758895,3.6091087297558406,2.791770359537703,0.15923111,5.333333333333333,5.163697276906054,2.121586374000996,3.635671886185722,2.720699762711833,0.105468124,3.2857142857142856,0.2672530383179665
319,fuel,"These pipes stretching thinly in a bridge across the service road injected a mix of chemicals into the walls of the furnace itself ; did I know that fuel was only used in the start-up process , after which the chemicals themselves provided the fire ?",a substance that can be consumed to produce energy,0.0,provide with fuel,1.0,"{'physicality': 2.1489851717880053, 'imageability': 3.994363154288957, 'concreteness': 2.9477984557174097, 'nb17': 0.34991565, 'precision': 4.0, 'precision_IC': 5.163697276906054}","{'physicality': 2.121586374000996, 'imageability': 3.635671886185722, 'concreteness': 2.7206997627118326, 'nb17': 0.105468124, 'precision': 3.2857142857142856, 'precision_IC': 0.2672530383179665}",2.1489851717880053,3.994363154288957,2.9477984557174097,0.34991565,4.0,5.163697276906054,2.121586374000996,3.635671886185722,2.720699762711833,0.105468124,3.2857142857142856,0.2672530383179665
320,fuel,"These pipes stretching thinly in a bridge across the service road injected a mix of chemicals into the walls of the furnace itself ; did I know that fuel was only used in the start-up process , after which the chemicals themselves provided the fire ?",a substance that can be consumed to produce energy,0.0,"take in fuel, as of a ship",1.0,"{'physicality': 1.418034639187363, 'imageability': 3.5220141581897764, 'concreteness': 2.7978234483709827, 'nb17': 0.011959833, 'precision': 5.8, 'precision_IC': 0.0}","{'physicality': 2.121586374000996, 'imageability': 3.635671886185722, 'concreteness': 2.7206997627118326, 'nb17': 0.105468124, 'precision': 3.2857142857142856, 'precision_IC': 0.2672530383179665}",1.418034639187363,3.5220141581897764,2.7978234483709827,0.011959833,5.8,0.0,2.121586374000996,3.635671886185722,2.720699762711833,0.105468124,3.2857142857142856,0.2672530383179665
